Term,Variable,Description,Category1|Category2|...
"PyTorch","PyTorch","A machine learning framework used to train models for the NNPot module","software"
"TorchScript","TorchScript","A way to create serializable and optimizable models from PyTorch code","software"
"Hybrid NNP/MM Simulations","Hybrid NNP/MM","Simulations combining a neural network potential for a subsystem with a classical force field","method|model"
"LibTorch","LibTorch","The C++ distribution of the PyTorch library","software"
"NNPot active","nnpot-active","An mdp option to enable the neural network potential interface","identifier"
"NNPot model file","nnpot-modelfile","An mdp option specifying the path to the trained NNP model","identifier|data format"
"NNPot input group","nnpot-input-group","An mdp option defining the group of atoms for the NNP subsystem","identifier"
"NNPot model inputs","nnpot-model-input[1-4]","mdp options to specify the inputs to the neural network model","identifier"
"NN device","GMX_NN_DEVICE","An environment variable to specify the device (CPU/GPU) for NNP inference","identifier"
"TorchANI","TorchANI","A PyTorch-based library for training and using ANI neural network potentials","software"
"GMXRC script","GMXRC","A GROMACS shell script to set up the environment for running GROMACS tools","software"
"man pages","man pages","Standard UNIX-style online documentation for programs","data source"
"Analysis","Analysis","The process of extracting scientific insights from simulation data","process"
"Group concept","group concept","The use of named sets of atoms or molecules in GROMACS analysis","model"
"Selections","Selections","A flexible syntax for dynamically defining groups of atoms or positions for analysis","method|software"
"Angle/dihedral index file generation","gmx mk_angndx","A GROMACS tool to generate index files of angles or dihedrals","software"
"Default Groups","Default Groups","Pre-defined atom groups available in analysis tools when no index file is provided","identifier|chemical entity"
"Selection tool","gmx select","A GROMACS tool for creating static index groups from dynamic selections","software"
"rlwrap","rlwrap","A utility that provides readline editing capabilities to command-line programs","software"
"Trajectory analysis tool","gmx traj","A GROMACS tool for analyzing properties of trajectories over time","software"
"Center-of-mass velocity","center-of-mass velocity","The velocity of the center of mass of the system or a group","measure"
"Radial distribution function tool","gmx rdf","A GROMACS tool for calculating radial distribution functions","software"
"Angle dependent RDF","gAB(r, θ)","A radial distribution function that also depends on the angle with respect to an axis","measure"
"Correlation functions","Correlation functions","Functions that measure the correlation of a property with itself or another property over time","measure|model"
"Autocorrelation function","ACF","A function that measures the correlation of a property with itself at different time intervals","measure"
"Cross-correlation function","cross-correlation function","A function that measures the correlation between two different properties over time","measure"
"Correlation time","τf","The integral of a correlation function, representing a characteristic timescale","measure"
"Block-averaging","block-averaging","A procedure to estimate statistical error by averaging over blocks of data","method"
"Fast Fourier Transform","FFT","An algorithm used to efficiently compute correlation functions","algorithm"
"Legendre polynomial","Legendre polynomial","A class of orthogonal polynomials used in vector correlation functions","model"
"Rotational autocorrelation","rotational autocorrelation","An autocorrelation function that describes the rotational motion of a vector","measure"
"Dipole autocorrelation","dipole autocorrelation","An autocorrelation function of the molecular or group dipole moment","measure"
"Velocity autocorrelation function","velocity autocorrelation function","The autocorrelation function of atomic or molecular velocities","measure"
"Velocity autocorrelation tool","gmx velacc","A GROMACS tool to calculate the velocity autocorrelation function","software"
"Self diffusion coefficient","DA","A measure of the translational mobility of a particle type","measure"
"Green-Kubo relation","Green-Kubo relation","A relation that connects transport coefficients to integrals of time correlation functions","model"
"Dipole correlation time","dipole correlation time","The correlation time of the dipole autocorrelation function","measure"
"Dipole analysis tool","gmx dipoles","A GROMACS tool for analyzing dipole moments and their correlations","software"
"Curve fitting","Curve fitting","The process of finding an analytical function that matches a set of data points","method|process"
"Levenberg-Marquardt algorithm","Levenberg-Marquardt algorithm","An algorithm used for non-linear least squares curve fitting","algorithm"
"Error estimation function","ε²(t)","A specific function used to estimate errors in time-correlated data","model"
"Error analysis tool","gmx analyze","A GROMACS tool for data analysis, including error estimation","software"
"Interphase boundary demarcation","Interphase boundary demarcation","The process of identifying the location and width of an interface","process"
"Density profile fitting function","f(x)","An error function-based model for fitting density profiles across an interface","model"
"Density order parameter tool","gmx densorder","A GROMACS tool for analyzing density and order at interfaces","software"
"Transverse current autocorrelation function","transverse current autocorrelation function","A correlation function used to compute viscosity","measure"
"TCAF tool","gmx tcaf","A GROMACS tool for calculating the transverse current autocorrelation function","software"
"Viscosity from pressure ACF","Viscosity estimation from pressure autocorrelation function","A method to estimate viscosity by fitting the pressure autocorrelation function","method|model"
"Mean Square Displacement","MSD","A measure of the average distance a particle travels over time","measure"
"MSD analysis tool","gmx msd","A GROMACS tool for calculating mean square displacement and diffusion coefficients","software"
"Distance analysis tool","gmx distance","A GROMACS tool for calculating distances between atoms or groups","software"
"Angle analysis tool","gmx angle","A GROMACS tool for calculating distributions of angles and dihedrals","software"
"Generic angle analysis tool","gmx gangle","A selection-enabled tool for calculating various types of angles","software"
"Biochemical convention","biochemical convention","A definition for dihedral angles where φ=0 is the cis conformation","model"
"Polymer convention","polymer convention","A definition for dihedral angles where φ=0 is the trans conformation","model"
"Radius of gyration","Radius of gyration","A measure of the compactness of a structure","measure"
"Radius of gyration tool","gmx gyrate","A GROMACS tool for calculating the radius of gyration","software"
"Minimum distance tool","gmx mindist","A GROMACS tool for calculating the minimum distance between two groups","software"
"Pairwise distance tool","gmx pairdist","A selection-enabled version of gmx mindist","software"
"Minimum distance matrix tool","gmx mdmat","A GROMACS tool that calculates a matrix of minimum distances between residues","software"
"Root mean square deviation","RMSD","A measure of the average distance between the atoms of superimposed structures","measure"
"RMSD calculation tool","gmx rms","A GROMACS tool for calculating root mean square deviation","software"
"RMS distance matrix tool","gmx rmsdist","A GROMACS tool for calculating a fit-free RMSD based on interatomic distances","software"
"Covariance analysis","Covariance analysis","A method to identify correlated motions in a system, also known as PCA","method|process"
"Principal component analysis","principal component analysis","A statistical method to find the principal modes of variation in a dataset","method|algorithm"
"Essential dynamics","essential dynamics","An application of principal component analysis to molecular dynamics trajectories","method|process"
"Covariance matrix","C","A matrix whose elements are the covariances between atomic coordinate fluctuations","measure|model"
"Eigenvectors","eigenvectors","The principal modes of motion obtained from diagonalizing the covariance matrix","measure|model"
"Eigenvalues","eigenvalue λi","The mean square fluctuation along the corresponding principal mode","measure"
"Principal components","pi(t)","The projection of the trajectory onto the principal modes","measure"
"Subspace overlap","subspace overlap","A measure of the similarity between two subspaces spanned by eigenvectors","measure"
"Cosine content","cosine content","A measure to check if principal components correspond to random diffusion","measure"
"Covariance analysis tool","gmx covar","A GROMACS tool to calculate and diagonalize the covariance matrix","software"
"Eigenvector analysis tool","gmx anaeig","A GROMACS tool for analyzing the results of a covariance analysis","software"
"Dihedral principal component analysis","Dihedral principal component analysis","Principal component analysis performed on dihedral angles","method|process"
"Hydrogen bonds","Hydrogen bonds","A non-covalent interaction involving a hydrogen atom and an electronegative atom","model|chemical entity"
"Hydrogen bond analysis tool","gmx hbond","A GROMACS tool for analyzing hydrogen bonds","software"
"Hydrogen bond existence map","H-bond existence map","A 2D plot showing the existence of H-bonds over time","data format"
"Protein-related items","Protein-related items","Analysis specific to protein structure and dynamics","process"
"Secondary structure analysis tool","gmx dssp","A GROMACS tool for assigning secondary structure based on the DSSP algorithm","software"
"Ramachandran plot","Ramachandran plot","A plot of the backbone dihedral angles φ and ψ of a protein","data format"
"Ramachandran plot tool","gmx rama","A GROMACS tool for generating Ramachandran plots","software"
"Helical wheel projection","helical wheel","A 2D projection of an alpha-helix to visualize the distribution of residue types","data format"
"Helical wheel tool","gmx wheel","A GROMACS tool for creating helical wheel projections","software"
"Interface-related items","Interface-related items","Analysis specific to systems with interfaces, like membranes","process"
"Order parameter","Sz","A measure of the orientational order of molecular axes with respect to a reference axis","measure"
"Order parameter tool","gmx order","A GROMACS tool for calculating order parameters in systems like lipid bilayers","software"
"Density analysis tool","gmx density","A GROMACS tool for calculating mass density profiles along a box axis","software"
"Single Sum Virial","Single Sum Virial","An efficient method for calculating the virial in GROMACS","method|algorithm"
"Shift vector","δi","A vector used in periodic systems to find the nearest image of an atom","model"
"Minimum image convention","minimum image convention","A convention in periodic systems where interactions are calculated with the closest periodic image","model|method"
"Intra-molecular shift","mol-shift","A method to handle periodicity for bonded interactions within a molecule","method|algorithm"
"Virial from SHAKE","Virial from SHAKE","The contribution to the virial from the SHAKE constraint forces","measure"
"Inner Loops for Water","Inner Loops for Water","Specially optimized code loops for calculating water interactions in GROMACS","software|algorithm"
"Formulae for averaging","Formulae for averaging","Equations used for calculating averages and fluctuations from trajectory data","model"
"Partial sum","Xn,m","A sum of a quantity over a part of a data series, used in sequential averaging algorithms","measure"
"Partial variance","σ²n,m","The variance of a quantity over a part of a data series","measure"
"gmxapi","gmxapi","A Python package for scripting GROMACS simulations and analysis","software"
"pydoc","pydoc","A Python tool to generate documentation from Python modules","software"
"pip","pip","The standard package installer for Python","software"
"virtual environment","virtual environment","An isolated Python environment that allows for managing separate package installations","software"
"mpi4py","mpi4py","A Python package providing bindings for the Message Passing Interface (MPI)","software"
"GMXRC","GMXRC","A GROMACS configuration script that sets up the user's environment","software"
"ensurepip","ensurepip","A Python module to ensure that the pip installer is available","software"
"setuptools","setuptools","A Python package that provides tools for packaging Python projects","software"
"pytest","pytest","A framework for writing and running tests for Python code","software"
"MPI launcher","mpiexec, mpirun","A command used to launch parallel applications using MPI","software"
"MPI compiler wrapper","mpicc","A compiler wrapper for compiling C code with MPI libraries","software"
"Offline install","Offline install","The process of installing a package without an internet connection","process"
"CMAKE_INSTALL_PREFIX","CMAKE_INSTALL_PREFIX","A CMake variable that specifies the installation directory for a project","identifier"
"venv","venv","A Python module for creating lightweight virtual environments","software"
"Conda","Conda","A package, dependency and environment management system","software"
"system-site-packages","--system-site-packages","An option for venv to include system-level packages in the virtual environment","identifier"
"pybind11","pybind11","A lightweight header-only library for creating Python bindings of C++ code","software"
"wheel package","wheel","A built-distribution format for Python packages","data format"
"pyproject.toml","pyproject.toml","A file used to specify build system requirements for Python projects","data format"
"scikit-build-core","scikit-build-core","A build backend for Python packages with C++/CMake components","software"
"gmxapi_ROOT","gmxapi_ROOT","An environment variable to hint at the GROMACS installation location for gmxapi","identifier"
"gromacs-hints.cmake","gromacs-hints.cmake","A CMake cache file providing hints about the GROMACS build configuration","data format"
"python -m build","python -m build","A command to build a Python package from source","software"
"sdist","sdist","A source distribution format for Python packages","data format"
"twine","twine","A utility for publishing Python packages to the Python Package Index (PyPI)","software"
"ImportError","ImportError","A Python exception raised when a module cannot be imported","state"
"dlopen error","dlopen","An error indicating a problem with dynamic linking of shared libraries","state"
"enum34","enum34","An older backported enumeration package for Python that can cause conflicts","software"
"ModuleNotFoundError","ModuleNotFoundError","A Python exception raised when a required module is not found","state"
"gmxapi support library","gmxapi support library","The C++ library component of gmxapi that must be found during installation","software"
"git pull --rebase","git pull --rebase","A git command to update a local branch, replaying local commits on top of the fetched branch","software"
"gmxapi.exceptions.Error","gmxapi.exceptions.Error","The base exception class for the gmxapi package","software"
"Logging facility","Logging","The Python module used by gmxapi for status messages and logging","software"
"mpiexec","mpiexec","A command to launch MPI parallel jobs","software"
"mpi_bindings","mpi_bindings","A gmxapi feature indicating that it was built with MPI support","identifier"
"gmxapi.commandline_operation","gmxapi.commandline_operation","A gmxapi function to wrap a command-line tool as a gmxapi operation","software"
"gmxapi.read_tpr","gmxapi.read_tpr","A gmxapi function to create a simulation input object from a TPR file","software"
"gmxapi.mdrun","gmxapi.mdrun","The gmxapi operation for running a molecular dynamics simulation","software"
"result()","result()","A method on a gmxapi data object to trigger execution and retrieve the output","software"
"ensemble operation","ensemble operation","A gmxapi operation that is applied to a list of inputs, producing a list of outputs","process"
"input_files","input_files","A parameter for commandline_operation to specify input file dependencies","identifier"
"output_files","output_files","A parameter for commandline_operation to specify output files","identifier"
"returncode","returncode","An output of a commandline_operation representing the process exit code","measure"
"stderr","stderr","An output of a commandline_operation representing the standard error stream","data source"
"stdout","stdout","An output of a commandline_operation representing the standard output stream","data source"
"gmxapi.modify_input","gmxapi.modify_input","A gmxapi operation to modify simulation input parameters","software"
"function_wrapper","gmxapi.function_wrapper","A decorator to convert a Python function into a gmxapi-compatible operation","software"
"work graph","work graph","A directed acyclic graph of operations and data dependencies managed by gmxapi","model"
"Future","Future","A gmxapi object representing a data value that will be available in the future","software"
"Subgraph","gmxapi.operation.Subgraph","A gmxapi construct to group operations for repeated execution or modularity","software"
"while loop","gmxapi.while_loop","A gmxapi operation to execute another operation repeatedly until a condition is met","software"
"OperationReference","gmxapi.abc.OperationReference","The client interface to a configured computational operation in the work graph","software"
"OutputDataProxy","OutputDataProxy","A proxy object providing access to the named outputs of an operation","software"
"run()","run()","A method on an operation reference to explicitly assert its execution","software"
"commandline_operation","commandline_operation","A gmxapi function to wrap command-line tools","software"
"subgraph","gmxapi.subgraph","A gmxapi function to create a subgraph context for staging operations","software"
"read_tpr","gmxapi.read_tpr","A gmxapi function to create simulation input from a TPR file","software"
"modify_input","gmxapi.modify_input","A gmxapi function to modify simulation input parameters","software"
"mdrun","gmxapi.mdrun","A gmxapi function to create an MD simulation operation","software"
"config","gmxapi.utility.config","A gmxapi utility function to get the detected GROMACS configuration","software"
"join_path","gmxapi.utility.join_path","A gmxapi utility to create a future path object for data flow","software"
"concatenate_lists","gmxapi.concatenate_lists","A gmxapi helper to combine multiple lists into a single data flow object","software"
"join_arrays","gmxapi.join_arrays","A gmxapi helper to concatenate two array-like data sources","software"
"logical_not","gmxapi.logical_not","A gmxapi operation for boolean negation","software"
"make_constant","gmxapi.make_constant","A gmxapi operation to provide a predetermined value at runtime","software"
"filtered_mpi_environ","gmxapi.runtime.filtered_mpi_environ","A gmxapi utility to get a copy of the environment with MPI variables removed","software"
"filtered_prefixes","gmxapi.runtime.filtered_prefixes","A tuple of MPI-related environment variable prefixes filtered by default","data source"
"ApiError","gmxapi.exceptions.ApiError","An exception for an API operation attempted with an incompatible object","state"
"DataShapeError","gmxapi.exceptions.DataShapeError","An exception for an object having an incompatible shape","state"
"FeatureNotAvailableError","gmxapi.exceptions.FeatureNotAvailableError","An exception for a requested feature not being available in the environment","state"
"MissingImplementationError","gmxapi.exceptions.MissingImplementationError","An exception indicating a feature is specified but not implemented","state"
"ProtocolError","gmxapi.exceptions.ProtocolError","An exception for unexpected API behavior or protocol violation","state"
"TypeError","gmxapi.exceptions.TypeError","An exception for an incompatible data type","state"
"UsageError","gmxapi.exceptions.UsageError","An exception for unsupported syntax or call signatures","state"
"ValueError","gmxapi.exceptions.ValueError","An exception for a user-provided value that cannot be interpreted","state"
"Warning","gmxapi.exceptions.Warning","The base warning class for gmxapi exceptions","state"
"gmx.version module","gmx.version","A gmxapi module for version and release information","software"
"api_is_at_least","gmxapi.version.api_is_at_least","A function to check if the installed gmxapi supports a requested API level","software"
"has_feature","gmxapi.version.has_feature","A function to query whether a named feature is available in the installation","software"
"Core API","Core API","The C++ extension module providing Python access to the GROMACS C++ API","software"
"from_tpr","gmxapi._gmxapi.from_tpr","A Core API function to initialize a system container from a TPR file","software"
"create_context","gmxapi._gmxapi.create_context","A Core API function to manage resources and the software environment","software"
"copy_tprfile","gmxapi._gmxapi.copy_tprfile","A Core API function to copy a TPR file","software"
"read_tprfile","gmxapi._gmxapi.read_tprfile","A Core API function to get a handle to a TPR file resource","software"
"write_tprfile","gmxapi._gmxapi.write_tprfile","A Core API function to write a new TPR file","software"
"rewrite_tprfile","gmxapi._gmxapi.rewrite_tprfile","A Core API function to copy and modify a TPR file","software"
"Context","gmxapi._gmxapi.Context","A Core API class for managing simulation context and plugins","software"
"MDArgs","gmxapi._gmxapi.MDArgs","A Core API class for managing mdrun runtime parameters","software"
"MDSession","gmxapi._gmxapi.MDSession","A Core API class representing a running simulation session","software"
"MDSystem","gmxapi._gmxapi.MDSystem","A Core API class representing a system to be simulated","software"
"SimulationParameters","gmxapi._gmxapi.SimulationParameters","A Core API class for accessing and modifying simulation parameters","software"
"TprFile","gmxapi._gmxapi.TprFile","A Core API class representing a TPR file resource","software"
"(Non-)Bonded Library (NB-LIB) API","NB-LIB API","A GROMACS library for programmatically defining molecular simulations","software"
"nblib","nblib","The C++ namespace for the Non-Bonded Library","identifier"
"ParticleName","ParticleName","A data structure for the name of a particle type","data format"
"Mass","Mass","A data structure for the mass of a particle type","data format"
"RVec","gmx::RVec","A data type for holding 3D vector quantities","data format"
"ParticleType","ParticleType","A class to define the properties of a particle type in NB-LIB","software"
"ParticleTypeInteractions","ParticleTypeInteractions","A class to define non-bonded interactions between particle types","software"
"Molecule","Molecule","A class to define a molecule from its constituent particles and interactions","software"
"HarmonicBondType","HarmonicBondType","A class for defining a harmonic bond interaction","software"
"DefaultAngle","DefaultAngle","A class for defining a default angle interaction","software"
"Box","Box","A class to define the simulation box dimensions","software"
"NBKernelOptions","NBKernelOptions","A class to configure options for non-bonded interaction kernels","software"
"TopologyBuilder","TopologyBuilder","A class to construct the system topology from molecules and interactions","software"
"Topology","Topology","An object representing the complete system topology","software"
"SimulationState","SimulationState","An object representing a snapshot of the system state","software"
"ForceCalculator","ForceCalculator","A class to compute forces on all particles in the system","software"
"LeapFrog","LeapFrog","An integrator that uses the leap-frog algorithm","algorithm|software"
"Developer Guide","Developer Guide","Documentation for developers contributing to GROMACS","data source"
"Checklist","Checklist","A list of points to check before submitting code for review","process"
"Preparing code for submission","Preparing code for submission","Guidelines for how to prepare and submit changes to GROMACS","process"
"Codebase overview","Codebase overview","A high-level description of the GROMACS source code organization","data source"
"Source code organization","Source code organization","Details on the structure and dependencies of the GROMACS source code","data source"
"libgromacs","libgromacs","The main GROMACS library containing the core simulation engine","software"
"testutils","testutils","A library of shared utility code for writing tests","software"
"Google Test","Google Test","A C++ testing framework used by GROMACS","software"
"FFTW","FFTW","A library for computing the Fast Fourier Transform","software"
"legacy_modules","legacy_modules","A CMake target for older GROMACS interfaces","software"
"Documentation organization","Documentation organization","The structure of the GROMACS documentation source files","data source"
"Doxygen documentation","Doxygen documentation","The API documentation for the C++ code, generated by Doxygen","data source"
"Build system overview","Build system overview","An overview of the CMake-based build system for GROMACS","data source"
"Build types","Build types","Predefined CMake configurations for building GROMACS (e.g., Release, Debug)","identifier"
"RelWithDebInfo","RelWithDebInfo","A build type with optimizations and debugging symbols","identifier"
"TSAN","ThreadSanitizer","A sanitizer build to detect data races in multi-threaded code","software"
"ASAN","AddressSanitizer","A sanitizer build to detect memory errors","software"
"MSAN","MemorySanitizer","A sanitizer build to detect reads of uninitialized memory","software"
"UBSAN","UndefinedBehaviorSanitizer","A sanitizer build to detect undefined behavior during execution","software"
"Compiler flags","Compiler flags","Options passed to the compiler to control the build process","identifier"
"GMX_SKIP_DEFAULT_CFLAGS","GMX_SKIP_DEFAULT_CFLAGS","A CMake variable to skip automatic addition of default compiler flags","identifier"
"GMX_BUILD_OWN_FFTW","GMX_BUILD_OWN_FFTW","A CMake variable to build the FFTW library from source","identifier"
"GMX_BUILD_SHARED_EXE","GMX_BUILD_SHARED_EXE","A CMake variable to build executables as shared binaries","identifier"
"GMX_COMPILER_WARNINGS","GMX_COMPILER_WARNINGS","A CMake variable to enable a strict set of compiler warnings","identifier"
"GMX_ENABLE_CCACHE","GMX_ENABLE_CCACHE","A CMake variable to enable the use of the ccache compiler wrapper","identifier"
"GMX_DOUBLE","GMX_DOUBLE","A CMake variable to build GROMACS in double precision","identifier"
"GMX_EXTERNAL_TNG","GMX_EXTERNAL_TNG","A CMake variable to use an external TNG library","identifier"
"GMX_FFT_LIBRARY","GMX_FFT_LIBRARY","A CMake variable to choose the CPU FFT library","identifier"
"GMX_GPU","GMX_GPU","A CMake variable to choose the backend for GPU offload","identifier"
"GMX_MPI","GMX_MPI","A CMake variable to enable MPI support","identifier"
"GMX_OPENMP","GMX_OPENMP","A CMake variable to enable OpenMP support","identifier"
"GMX_SIMD","GMX_SIMD","A CMake variable to choose the SIMD instruction set","identifier"
"GMX_THREAD_MPI","GMX_THREAD_MPI","A CMake variable to enable thread-MPI support","identifier"
"GMX_USE_PLUGINS","GMX_USE_PLUGINS","A CMake variable to enable support for dynamic plugins","identifier"
"GMX_USE_TNG","GMX_USE_TNG","A CMake variable to use the TNG library for trajectory I/O","identifier"
"GMX_VMD_PLUGIN_PATH","GMX_VMD_PLUGIN_PATH","A CMake variable to specify the path to VMD plugins","identifier"
"BUILD_TESTING","BUILD_TESTING","A standard CTest variable to enable or disable tests","identifier"
"GMX_DEVELOPER_BUILD","GMX_DEVELOPER_BUILD","A CMake variable to enable developer-specific build features","identifier"
"GMX_CLANG_TIDY","GMX_CLANG_TIDY","A CMake variable to enable static analysis with clang-tidy","identifier"
"GMX_INSTALL_LEGACY_API","GMX_INSTALL_LEGACY_API","A CMake variable to install legacy C++ headers","identifier"
"GMX_INSTALL_NBLIB_API","GMX_INSTALL_NBLIB_API","A CMake variable to install the NB-LIB API headers","identifier"
"GMXAPI","GMXAPI","A CMake variable to enable building the gmxapi C++ library","identifier"
"GMX_BUILD_MANUAL","GMX_BUILD_MANUAL","A CMake variable to enable building the PDF reference manual","identifier"
"GMX_BUILD_UNITTESTS","GMX_BUILD_UNITTESTS","A CMake variable to build the unit test binaries","identifier"
"REGRESSIONTEST_DOWNLOAD","REGRESSIONTEST_DOWNLOAD","A CMake variable to download the regression test suite","identifier"
"REGRESSIONTEST_PATH","REGRESSIONTEST_PATH","A CMake variable specifying the path to the regression test suite","identifier"
"Special targets","Special targets","CMake targets for performing specific developer or CI tasks","software"
"check target","check","A build target that builds and runs all tests","software"
"check-source target","check-source","A build target that runs static analysis scripts on the source code","software"
"completion target","completion","A build target that generates shell command-line completions","software"
"dep-graphs target","dep-graphs*","A build target that generates include dependency graphs","software"
"doxygen-all target","doxygen-all","A build target that generates all flavors of Doxygen documentation","software"
"gmxapi-cppdocs target","gmxapi-cppdocs","A build target for generating the gmxapi C++ API documentation","software"
"install-guide target","install-guide","A build target that generates the plain-text INSTALL file","software"
"man target","man","A build target that generates man pages for GROMACS programs","software"
"manual target","manual","A build target that generates the reference manual in PDF format","software"
"package_source target","package_source","A CPack target that builds a source package for release","software"
"test target","test","A CTest target that runs registered tests without building them","software"
"tests target","tests","A build target that builds all test binaries","software"
"webpage target","webpage","A collection target that generates the full HTML documentation website","software"
"webpage-sphinx target","webpage-sphinx","A build target that generates the Sphinx-based parts of the HTML documentation","software"
"configure_file","configure_file()","A CMake command that generates a file from a template, substituting variables","software"
"buildinfo.h","buildinfo.h","A generated header file containing build environment information","data format"
"config.h","config.h","A generated header file containing defines for conditional compilation","data format"
"gmxpre-config.h","gmxpre-config.h","A generated header file included first, containing pre-configuration defines","data format"
"baseversion-gen.cpp","baseversion-gen.cpp","A generated source file providing version information","data format"
"Change Management","Change Management","The process and tools used for managing revisions to the source code","process"
"gitlab","gitlab","The web-based Git repository manager used for GROMACS development","software"
"ssh key","ssh key","A cryptographic key pair used for secure authentication with gitlab","identifier"
"issues","issues","The feature in gitlab used for tracking bugs and feature requests","process"
"merge requests","merge requests","The feature in gitlab used for submitting and reviewing code changes","process"
"Continuous Integration","CI","The practice of automatically testing code changes as they are integrated","process"
"Labels","Labels","A feature in gitlab to categorize and filter issues and merge requests","identifier"
"Code Review","Code Review","The process of having other developers review code changes for correctness and quality","process"
"git rebase","git rebase","A git command to re-apply commits on top of another base tip","software"
"git stash","git stash","A git command to temporarily store modified tracked files","software"
"git commit --amend","git commit --amend","A git command to modify the most recent commit","software"
"git commit --fixup","git commit --fixup","A git command to create a commit that will be squashed into an earlier commit","software"
"Relocatable binaries","Relocatable binaries","The ability for installed GROMACS binaries to be moved to a different location and still function","software"
"RPATH","RPATH","A path embedded in an executable that specifies where to find shared libraries","identifier"
"LD_LIBRARY_PATH","LD_LIBRARY_PATH","An environment variable that lists directories to search for shared libraries","identifier"
"GMXLIB","GMXLIB","An environment variable to provide alternative locations for GROMACS data files","identifier"
"Documentation generation","Documentation generation","The process of building the GROMACS documentation from various sources","process"
"ImageMagick","ImageMagick","A software suite for image manipulation, used as a dependency for documentation","software"
"linkchecker","linkchecker","A tool used to check for broken links in the documentation","software"
"Style guidelines","Style guidelines","Rules and conventions for code formatting and naming in GROMACS","process"
"clang-format","clang-format","An automatic source code formatting tool used by GROMACS","software"
"Naming conventions","Naming conventions","Guidelines for naming files, variables, functions, and classes","process"
"CamelCase","CamelCase","A naming convention where words are joined without spaces, with each word's first letter capitalized","identifier"
"Hungarian notation","hungarian notation","A naming convention where a prefix indicates the variable's type (e.g., 'b' for boolean)","identifier"
"GPU API considerations","GPU API considerations","Specific coding guidelines for writing code that targets GPUs (CUDA, OpenCL, SYCL)","process"
"Error handling","Error handling","The approach and guidelines for managing runtime errors in GROMACS","process"
"static_assert","static_assert","A C++ feature to perform assertions at compile time","software"
"GMX_ASSERT","GMX_ASSERT","A GROMACS macro for assertions in debug and development builds","software"
"GMX_RELEASE_ASSERT","GMX_RELEASE_ASSERT","A GROMACS macro for assertions that are active in all build types","software"
"GMX_THROW","GMX_THROW","A GROMACS macro for throwing exceptions","software"
"RAII","RAII","Resource Acquisition Is Initialization, a C++ programming technique for resource management","method"
"Development-time tools","Development-time tools","Tools used by developers for tasks like documentation generation and code checking","software"
"Doxygen","Doxygen","A tool for generating documentation from annotated source code","software"
"Documentation flavors","Documentation flavors","Different levels of Doxygen documentation generated (e.g., user, lib, full, dev)","identifier"
"Doxygen groups","Doxygen groups","A Doxygen feature used to organize documentation into logical modules","software"
"defgroup","\defgroup","A Doxygen command to define a new documentation group","software"
"ingroup","\ingroup","A Doxygen command to add an item to an existing documentation group","software"
"addtogroup","\addtogroup","A Doxygen command to add a block of items to a documentation group","software"
"internal","\internal","A Doxygen command to mark documentation for inclusion only in the full documentation","software"
"libinternal","\libinternal","A GROMACS-specific Doxygen command to mark documentation for exclusion from the public API","software"
"inpublicapi","\inpublicapi","A GROMACS-specific Doxygen command to mark a header as part of the public API","software"
"inlibraryapi","\inlibraryapi","A GROMACS-specific Doxygen command to mark a header as part of the library API","software"
"cond","\cond","A Doxygen command to conditionally exclude a block of documentation","software"
"GitLab Runner","GitLab Runner","The application that runs jobs in a GitLab CI/CD pipeline","software"
"GitLab CI Pipeline","GitLab CI Pipeline","A set of automated jobs for testing and building software in GitLab","process"
".gitlab-ci.yml",".gitlab-ci.yml","The main configuration file for GitLab CI/CD pipelines","data format"
"Job parameters","Job parameters","Keywords in the .gitlab-ci.yml file that control how a job is executed","identifier"
"Global templates","Global templates","Reusable job definitions and configuration snippets for GitLab CI","data format"
"Schedules and triggers","Schedules and triggers","Mechanisms for running GitLab CI pipelines automatically or on-demand","process"
"Updating regression tests","Updating regression tests","The process for updating the regression test suite in conjunction with code changes","process"
"GitLab CI Variables","Variables","Environment variables used to control the behavior of GitLab CI jobs and scripts","identifier"
"GitLab Container Registry","GitLab Container Registry","A private Docker image registry integrated with GitLab","data source"
"make-release-build.py","make-release-build.py","A script for automating release-related build and pipeline tasks","software"
"trigger-post-merge.py","trigger-post-merge.py","A script for manually triggering post-merge acceptance pipelines","software"
"HPC Container Maker","HPC Container Maker","A tool from NVIDIA for generating container specification files","software"
"scripted_gmx_docker_builds.py","scripted_gmx_docker_builds.py","A script for generating Dockerfiles for GROMACS CI testing images","software"
"Source tree checker scripts","Source tree checker scripts","A set of Python scripts for checking source code consistency and documentation","software"
"Special targets","Special targets","CMake targets for performing specific developer or CI tasks","software"
"check target","check","A build target that builds and runs all tests","software"
"check-source target","check-source","A build target that runs static analysis scripts on the source code","software"
"completion target","completion","A build target that generates shell command-line completions","software"
"dep-graphs target","dep-graphs*","A build target that generates include dependency graphs","software"
"doxygen-all target","doxygen-all","A build target that generates all flavors of Doxygen documentation","software"
"gmxapi-cppdocs target","gmxapi-cppdocs","A build target for generating the gmxapi C++ API documentation","software"
"install-guide target","install-guide","A build target that generates the plain-text INSTALL file","software"
"man target","man","A build target that generates man pages for GROMACS programs","software"
"manual target","manual","A build target that generates the reference manual in PDF format","software"
"package_source target","package_source","A CPack target that builds a source package for release","software"
"test target","test","A CTest target that runs registered tests without building them","software"
"tests target","tests","A build target that builds all test binaries","software"
