"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count"
"Local Density Approximation","LDA","A class of exchange-correlation functionals in DFT","model","yes","47687,53061","2"
"Generalized Gradient Approximation","GGA","A class of exchange-correlation functionals in DFT","model","yes","47688,47766,53061,53064,53271","7"
"Hybrid-GGA Functional","Hybrid-GGA","A class of DFT functionals mixing Hartree-Fock exchange","model","yes","47688","1"
"Grimme Dispersion Correction","Grimme type dispersion corrections","A family of empirical corrections for dispersion in DFT","model|method","yes","47692","1"
"Restricted Closed-Shell","Restricted closed-shell","A wavefunction type for systems where all electrons are paired","state","yes","47696","1"
"Unrestricted Open-Shell","Unrestricted open-shell","A wavefunction type for systems with unpaired electrons","state","yes","47696","1"
"Mulliken Charge Analysis","Mulliken charge analysis","A method for calculating partial atomic charges from a QM calculation","method","yes","47704","1"
"Molden Format","Molden format","A file format for visualizing molecular geometry and orbital data","data format","yes","47708","1"
"Gaussian Basis Set","BASIS=","A set of functions used to represent molecular orbitals in QM calculations","model","no","","0"
"SG1 Grid","SG1 grid","A standard grid system used for numerical integration in DFT calculations","model","yes","47762","1"
"QM/MM Calculation","ifqnt=1","A hybrid simulation method combining Quantum and Molecular Mechanics","method|model","yes","47193,48738,49277,51016,51676,51862,55317,55365,62496,62528,62674,63020,63324,64737,66600,112570,121633,192225,193242,193253,193264","21"
"Electrostatic Embedding","qmmm_int=1","A QM/MM coupling scheme where MM charges polarize the QM region","method|model","yes","44930,48341,48488,48495,48609,49057,51228,55994,56285,56391,56807,57124,57237","13"
"Link Atom","","An artificial atom (typically H) to saturate valency at a QM/MM boundary","model","yes","46318,48527,48528,48529,48531,48534,48558,48563,48565,48573,48581,48592,49108,50688,50703,50746,50748,50750,50837,51183,64513,120772,121158","24"
"PM3/MM","qmmm_int=3","A reformulated QM/MM interface potential for the PM3 Hamiltonian","model|method","yes","48648,48740,48750,48759","4"
"Ewald for QM/MM","qm_ewald=1","An Ewald summation method adapted for QM/MM periodic simulations","method|model","yes","49503","1"
"PME for QM/MM","qm_pme=1","A Particle Mesh Ewald method for QM/MM periodic simulations","algorithm|method","no","","0"
"Print Dipole Moment","printdipole","Controls the printing of the system's dipole moment","state|process","yes","50072,50077,121337,121342","4"
"Write PDB","writepdb","Writes a PDB file of the selected QM region for verification","state|process","yes","50122,50127,72438","3"
"Solvent in QM region","vsolv","Controls the inclusion of solvent molecules into the QM region","state|method","yes","50169,50174,50182,50223,50236,50252,61387,61435,61450,61719,61727,61737,61743,61762,61946,61988,62013,62015,62046,62077,121732,121737","22"
"Charge-dependent vdW corrections","qxd=.true.","A charge-dependent model for QM/MM van der Waals interactions","model|method","yes","51064","1"
"qxd parameters","qxd_s","Parameters for the charge-dependent exchange-dispersion vdW model","measure|model","yes","51083,51094,51102","3"
"External QM/MM Interface","qm_theory = 'EXTERN'","Interface to use external QM software packages with sander","software|method","yes","52684,52771,56190,57390,66692","5"
"ADF","ADF","Amsterdam Density Functional, a quantum chemistry software package","software","yes","51192,51324,52481,52803,52829,52832,52921,52925,52926,52927,52931,52951,52974,53063,53152,53154,53155,53171,53255,53266,53299,93956,94380,94449","25"
"GAMESS-US","GAMESS-US","A general-purpose ab initio quantum chemistry software package","software","yes","51204,51324,53347,98845,98873,99113,99123,99161,99171,99181,99559,99562,99567,100218,100231,100421,100453,100508","18"
"NWChem","NWChem","An open-source high-performance computational chemistry software package","software","yes","51216,51325,51389,52829,52832,52841","6"
"Gaussian","Gaussian","A widely used commercial computational chemistry software package","software","yes","16402,16469,32486,32491,35343,37591,41174,41196,41218,43035,43042,47712,49951,51232,51324,52482,52829,52832,53758,53762,53810,53834,53884,53885,53902,53977,53986,54036,54040,54071,70912,90765,90775,90781,90786,90791,90796,90801,90807,90822,91053,91063,91098,91221,91227,91302,91307,91313,91314,91315,91316,91385,92756,92774,92778,92836,93391,93411,93720,93722,93957,94135,94380,94393,94403,94466,94683,95467,95477,95482,95506,95508,95528,95536,95599,95603,95611,95626,96076,96151,96166,96515,96738,96769,96905,96906,96919,98253,98381,98727,98737,98845,98849,98873,98877,98972,98975,98993,99076,99102","194"
"Orca","Orca","A flexible and efficient quantum chemistry program package","software","yes","51244,51325,52482,52829,52832,54084,54088,54089,54091,54092,54118,54144,54161,54178,54211,54318,54320,54336,54337,54401,54440,54449,54463,91108,96515,96738,96768,96787,96904,96906,98253","33"
"Q-Chem","Q-Chem","A comprehensive ab initio quantum chemistry software package","software","yes","51256,51324,52482,52830,52832,54483,54487,54489,54491,54492,54493,54544,54562,54649,54666,54751,54790,54794","19"
"MRCC","MRCC","A quantum chemistry program for high-accuracy coupled-cluster methods","software","yes","51300,51303,51325,51390,51536,52482,52823,52830,52832,54820,54824,54826,54828,54829,54830,54861,54880,54945,55000,55018,55034,55035,55037,55042,55079,55194,55282,55293,55330,55377,55425","33"
"Fireball","Fireball","A local-orbital DFT QM/MM software","software","yes","51312,51325,51362,51371,51391,51562,51578,52495,55438,55442,55446,55447,55451,55452,55463,55467,55479,55521,55547,55550,55551,55561,55650,55666,55678,55679,55692,55738","29"
"PUPIL","PUPIL","A simulation framework for coupling multiple simulation codes","software","yes","3344,51589","2"
"File-based interface (FBI)","File-based interface (FBI)","A method for coupling programs via file exchange and system calls","method|software","yes","55938,56028,56138,57476","4"
"Client/server model","client/server model","A data communication model for coupling programs, used by TeraChem","method|software","yes","52483,56963,56966","3"
"TCPB-cpp","TCPB-cpp","TeraChem Protocol Buffers C++ client for the client/server model","software","yes","48204,51464,56964,56970,56975,56976,57003,57108,57251,57541,58160","11"
"&adf namelist","&adf","Namelist in the Amber input file for controlling the ADF program","data format","yes","52803,52974,53266","3"
"ZLM fit","zlmfit","A density fitting method used in the ADF program","method|algorithm","yes","52942,52952,53015,53020,53025,53026,53045,53291","8"
"Becke integration grid","beckegrid","A numerical integration grid for DFT calculations, used by ADF","model|algorithm","yes","52934,53105,53110,53115","4"
"&gms namelist","&gms","Namelist in the Amber input file for controlling the GAMESS-US program","data format","yes","52807,53410,53679","3"
"Lebedev grids","nleb","Angular grids used for numerical quadrature in DFT calculations","model|algorithm","yes","53477,53482,53487,53489","4"
"CHELPG charges","chelpg","A method to derive atomic charges from the electrostatic potential","method|measure","yes","53625,53630,53635,53640","5"
"&gau namelist","&gau","Namelist in the Amber input file for controlling the Gaussian program","data format","yes","52815,53792,53998,54078","4"
"&orc namelist","&orc","Namelist in the Amber input file for controlling the Orca program","data format","yes","52819,54125,54412","3"
"&qc namelist","&qc","Namelist in the Amber input file for controlling the Q-Chem program","data format","yes","52823,54525,54762","3"
"Auxiliary basis set","auxbasis","A secondary basis set used in density fitting or RI methods","model|data source","yes","54160,54177,54551,54556,54561","5"
"&mrcc namelist","&mrcc","Namelist in the Amber input file for controlling the MRCC program","data format","yes","52823,54861,55035,55042,55293,55330,55377","7"
"Multilayer calculation","embed","A QM/QM/MM or higher-level embedding scheme available in MRCC","method|model","yes","55058,55063,55080,55345,55392,55432","6"
"&fb namelist","&fb","Namelist in the Amber input file for controlling the Fireball program","data format","yes","55541,55567,55673,55695,55707,55733","6"
"Fdata directory","Fdata","Directory containing basis set and interaction parameters for Fireball","data source|data format","yes","55525,55533,55534,55547,55557,55584,55585,55722,55738","9"
"DFTD3 dispersion correction","idftd3","Grimme's D3 empirical dispersion correction for DFT methods","model|method","yes","55623,55628,55633,55634,55635,55743","7"
"QUICK QM/MM Interface (API)","qm_theory = 'quick'","An API-based interface to use the QUICK QM program with sander","software|method","yes","56331","1"
"Application programming interface (API)","API","A method for directly linking software libraries for communication","software|method","yes","3059,47497,48202,51353,55937,55954,55956,55990,56053,56099,56103,56112,56280,56387,56417,56436,56595,56643,56669,56695,56721,56747,56770,56793,56828,66483,66589,86916,86963,90061,90178,90181,90189,90192,119304,119327,119340,119344,119371,119374,119379,119385,119406,119415,119418,119433,119435,119482,119678,119806,119913,120669,120708,120721,121315,121331,121347,121363,121412,121432,121709,121744,121791,121807,122101,122148,122165,122167,122293,122465,122469,122488,122581,122841,122855,122972,122987,123334,123704,123769,123774,123812,123927,124160,124174,124266,124527,124812,124873,124880,124888,124939,124943,124977,124989,125000,125013,125017,125025,125224","125"
"&quick namelist","&quick","Namelist in the Amber input file for controlling the QUICK program","data format","yes","56205,56351,56430,56434","4"
"TeraChem QM/MM Interface (TCPB)","qm_theory = 'terachem'","A client-server interface to use the TeraChem QM program with sander","software|method","yes","57166,57292","2"
"&tc namelist","&tc","Namelist in the Amber input file for controlling the TeraChem program","data format","yes","52827,57186,57312,57405,57470,57474,58105","7"
"xTB","xTB","A software package implementing semiempirical GFN-xTB methods","software","yes","58202,58213,58221,58229,58231,58232,58238,58243,58245,58255,58259,58268,58272,58277,58278,58282,58288,58337,58360,58370,58388,58420,58466,58481,58486,58525,58529,58550,58551,58745,58812,58814,58826,58828,58830,58909","39"
"GFN1-xTB","GFN1-xTB","A semiempirical tight-binding quantum mechanics method","model|method","yes","58221,58550","2"
"GFN2-xTB","GFN2-xTB","An accurate and broadly parametrized semiempirical tight-binding QM method","model|method","yes","58221,58486,58550,58551","4"
"&xtb namelist","&xtb","Namelist in the Amber input file for controlling the xTB program","data format","yes","58481,58525,58529","3"
"Chemical hardness","mmhardness","A parameter tuning QM/MM electrostatics in the xTB interface","measure|model","yes","58506,58618,58623,58627,58631,58635,58638,58640","8"
"DFTB+","DFTB+","A software package for performing DFTB calculations","software","yes","58662,58673,58682,58685,58686,58697,58700,58710,58714,58732,58733,58737,58743,58747,58810,58826,58827,58829,58908,58909,58910,58917,58965,58993,59161,59162,59330,59334,59335,59336,59400,59422,59444","34"
"&dftbplus namelist","&dftbplus","Namelist in the Amber input file for controlling the DFTB+ program","data format","yes","59054,59116,59120","3"
"Hydrogen-bond correction","hcorrection","An empirical correction for hydrogen bonds in DFTB+","model|method","yes","59079,59256,59261,59265","4"
"SCF Mixer","mixer","Selects the SCF iteration mixing algorithm (e.g., BROYDEN, DIIS)","algorithm","yes","59094,59345,59350","3"
"D3 dispersion model","d3s8","Grimme's D3 dispersion model with various parameters","model|method","yes","59432,59437,59441","3"
"Difference-based Adaptive Solvation (DAS)","DAS","An accurate method for adaptive QM/MM simulations","method|model","yes","60103,60104","2"
"Active Region (A)","RA","The central region treated with high-level QM in adaptive QM/MM","model","yes","60185,62016,62022,62027,62048,62078","6"
"Transition Region (T)","RT","The intermediate region where molecules have partial QM/MM character","model","yes","60186,62016,62047,62053,62058,62079,138531","7"
"Environment Region (E)","","The region treated purely with MM in adaptive QM/MM","model","yes","60186","1"
"Force Interpolation","","A scheme to calculate forces as a weighted sum, avoiding energy derivatives","method|algorithm","yes","60633,60732,60793,61022,61680","5"
"Conserved Quantity","Ẽ","A modified energy that is conserved during force interpolation dynamics","measure","yes","60806,61060,61250","3"
"&vsolv namelist","&vsolv","Namelist for controlling solvent inclusion in the QM region","data format","yes","50182,50223,50236,50252,61450,61727,61737,61743","8"
"&adqmmm namelist","&adqmmm","Namelist for controlling adaptive QM/MM simulation details","data format","yes","50240,50256,61465,61731,61754,61978,61995","7"
"Number of Partitions","n_partition","Defines the number of QM/MM partitions in adaptive QM/MM","measure","yes","61470,61564,62002,62007,62014,62017","6"
"Book-keeping Term","calc_wbk","A correction term for energy conservation in force interpolation schemes","measure|model","yes","62084,62089,62094","3"
"Adaptive Buffered Force-Mixing QM/MM","abfQM/MM","A method using two force calculations to handle adaptive QM/MM boundaries","method|model","yes","62378,62461,62470,62521,62525,62570,62582,62692,62727,62841,63269,63279,63284,63289,64371,64375,64397,64424,64435,64456,64474","21"
"Extended System","","The larger QM/MM calculation for forces on dynamical QM atoms","model","yes","63258","1"
"Reduced System","","The smaller calculation (MM or smaller QM) for MM forces","model","yes","62903,63250,63466","3"
"Hysteretic Algorithm","","An algorithm using inner and outer radii to prevent rapid region fluctuations","algorithm|method","yes","62596","1"
"Adaptive Thermostat","ntt=6","A thermostat that handles intrinsic heating/cooling in non-conservative dynamics","method|algorithm","yes","63314","1"
"abfQM/MM Activation","abfqmmm","Flag to activate the adaptive buffered force-mixing method","state","yes","60173,62381,63348,63427,63432,63908,64380,64459,121796,121801","10"
"Core Region Radii","r_core_in, r_core_out","Inner and outer radii for determining the core extension region","measure|unit","no","","0"
"QM Region Radii","r_qm_in, r_qm_out","Inner and outer radii for determining the qm extension region","measure|unit","no","","0"
"Buffer Region Radii","r_buffer_in, r_buffer_out","Inner and outer radii for determining the buffer extension region","measure|unit","no","","0"
"Cuttable Bond List File","cut_bond_list_file","File specifying which chemical bonds are allowed to be cut","data format|data source","yes","64274,64279","2"
"SEBOMD","qm_theory = 'SEBOMD'","SemiEmpirical Born-Oppenheimer Molecular Dynamics simulation method","method|model","yes","64505,64509,64511,64515,64547,64554,64568,64587,64636,64705,64719,64722,64725,64730,64734,64736,64738,64739,64743,64767,64775,64791,64814,65699,65750,65765,65778,65779,65795","33"
"Divide and Conquer","method=1","A linear scaling strategy for large quantum mechanical systems","algorithm|method","yes","64527,64870,64903,64924,64958","5"
"Mulliken Ewald Summation","longrange=2","Ewald summation using Mulliken charges for long-range electrostatics","method|algorithm","yes","64658","1"
"PIF Correction","modif=PIF2","A correction to the PM3 Hamiltonian for intermolecular interactions","model|method","no","","0"
"MAIS Correction","modif=MAIS1","A correction to the PM3 Hamiltonian for water and other elements","model|method","no","","0"
"&sebomd namelist","&sebomd","Namelist containing parameters for a SEBOMD simulation","data format","yes","64734,64775,64791","3"
"Long Range Interaction Type","longrange","Selects the type of long-range interaction for periodic systems","state","yes","65520,65525,186714","3"
"Peptide Bond Correction","peptcorr","Flag to apply a force field correction to peptide bonds","state|method","yes","65843,65848","2"
"ReaxFF/AMBER","","A hybrid reactive/non-reactive force field molecular dynamics framework","method|model","yes","65935,65967,66466,66472,66517,66548,66588,66590,66599,66603,66809,67231","12"
"ReaxFF","ReaxFF","A reactive force field that can model bond formation and breaking","model|method","yes","65935,65939,65940,65941,65943,65944,65945,65949,65960,65962,65967,65973,65977,65980,65982,65988,65997,66017,66089,66097,66117,66129,66141,66152,66163,66174,66208,66224,66273,66284,66290,66310,66320,66357,66361,66387,66403,66407,66409,66410,66436,66440,66466,66467,66468,66469,66472,66474,66477,66479,66488,66493,66498,66499,66503,66508,66517,66542,66548,66577,66588,66590,66591,66592,66593,66599,66603,66726,66745,66749,66769,66789,66790,66809,67224,67229,67231,67232,67235,67370,67371,67372","90"
"PuReMD","PuReMD","An open-source reactive molecular dynamics package implementing ReaxFF","software","yes","65949,65950,65959,65960,66468,66470,66474,66475,66483,66542,66577,66587,66588,66769,67224,67229,67235,67371","19"
"Bond Order","BO","A measure of the number of chemical bonds between two atoms in ReaxFF","measure|model","yes","62679,66108,66110,66133,66204,66221,66222,67712,73847","9"
"Charge Equilibration (QEq)","charge_method=0","A method to dynamically determine partial atomic charges in ReaxFF","method|model","yes","66842","1"
"Electronegativity Equalization (EE)","charge_method=1","A method to dynamically determine partial atomic charges in ReaxFF","method|model","yes","66851","1"
"ReaxFF Force Field File","ffield","File containing parameters for a ReaxFF simulation","data format|data source","yes","66361,66591,66592,66593,66775,66780,66790","8"
"&reaxff namelist","&reaxff","Namelist for controlling ReaxFF/AMBER simulations","data format","yes","66593,66726,66745,66749,67232,67370,67372","7"
"External Library Interface","iextpot=1","A feature to use external libraries for energy and force calculations","software|method","yes","67531","1"
"MBX","extprog='mbx'","A software package for MB-pol and MB-nrg many-body potentials","software|model","yes","3313,67414,67416,67423,67558,67559,67568,67572","9"
"reduce","reduce","A program for adding and optimizing hydrogens in a PDB file","software","yes","3494,8698,22635,23925,30904,32901,35220,36628,36629,36687,39401,49956,62596,67629,67643,67659,67752,68327,68437,68443,68449,68715,68719,68725,68733,68757,68765,68771,68781,68786,68794,68803,68809,68818,69006,69014,69207,69242,90475,96825,104475,135361,151110,167214,174453,175870,177509,180803,185757,191531,214795","54"
"HIE","HIE","Residue name for epsilon-protonated Histidine","chemical entity|identifier","yes","67866,67913,68606,68609,74287,74288,74290,167936,171138,174266,188667","11"
"HID","HID","Residue name for delta-protonated Histidine","chemical entity|identifier","yes","67918,68607,74286,100821,100822,100823,100824,167935,171138,174258","10"
"ASH","ASH","Residue name for the neutral form of Aspartic Acid","chemical entity|identifier","yes","67976,167937","2"
"GLH","GLH","Residue name for the neutral form of Glutamic Acid","chemical entity|identifier","yes","67980,167937","2"
"LYN","LYN","Residue name for the neutral form of Lysine","chemical entity|identifier","yes","67984","1"
"NHE","NHE","Residue name for a C-terminal amide capping group","chemical entity|identifier","yes","68004,68091,68100,68144,68150,68193","6"
"pdb2pqr","pdb2pqr","A tool to prepare PDB files by adding hydrogens and assigning charges at a given pH","software","yes","68813,68824,68850,68858,68864,68871,69227,69232,69239,119275,119279,119283,119287,119297,119298","18"
"propka3","propka3","A program to predict pKa values of ionizable groups in proteins","software","yes","68837,69241","2"
"gwh","gwh","A program to optimize the positions of hydrogens in water molecules","software","yes","68896,68900,68912,68923,68992,69002,69010","7"
"Memembed","Memembed","A program for orienting proteins in membranes","software","yes","2040,69070","2"
"pdbremix","pdbremix","A tool to estimate system volume for packing","software","yes","69078","1"
"Packmol","Packmol","A program for packing molecules in defined regions of space","software","yes","2039,2041,14615,14620,69049,69057,69061,69067,69086,69109,69134,69265,69334,69340,69387,69394,69624,69628,69811,69815,69885,70036,70040,70342,70370,70385,70401,70410,70451,70894,70951,71028,71034,71043,71129,71180,72310","37"
"Lipid_ext","Lipid_ext","An extension of the Lipid17/21 force fields with new lipid types","model|data source","yes","69829,69836,70071,70346,71243,72314","6"
"Cardiolipin","CLI","A type of phospholipid containing two phosphatidylglycerol backbones","chemical entity","yes","69783,70099,70346,70408","4"
"Lysophospholipid","PE1","A lipid derivative where one fatty acid chain is removed","chemical entity","yes","69929,70147,70195,70346","4"
"Ergosterol","ERG","A sterol found in fungi and protozoa","chemical entity","yes","69861,70254,70263","3"
"Stigmasterol","STI","A plant-derived sterol","chemical entity","yes","69862,70283","2"
"Sitosterol","SIT","A plant-derived sterol","chemical entity","yes","69861,70294,70303","3"
"Campesterol","CAM","A plant-derived sterol","chemical entity","yes","69861,70314,70323","3"
"Phosphatidylinositol","PI","A class of lipids that are part of the cell membrane","chemical entity","yes","18806,20903,22268,23115,31812,66026,66030,66034,66038,66059,66063,66075,66079,66141,66152,69829,71276,71285,71294,71314,71390,71466,71542,71694,71846,71998,72314,82237,82252,95318,95326,95332,98519,107045,107050,107058,107060,107074,110843,111027,111059,114592,114617,143510,143765,178416,179027,212419,212445,212600,214482","70"
"memgen.parm","--memgen_parm","A parameter file for packmol-memgen with lipid properties","data format|data source","yes","70420,70427,70898","3"
"Area per lipid (APL)","APL","The average area a lipid molecule occupies in a bilayer","measure|unit","yes","70443,70588,70613,70624","5"
"Gaussian-shaped constraints","--xygauss","Constraints to generate curved or buckled membranes","method|model","yes","70912,70944,70951","3"
"AMBAT","AMBAT","Amber Membrane Builder and Analysis Tool for bilayer systems","software","yes","72336,72340,72350","3"
"PREP input file","","An older Amber file format for residue topology information","data format","yes","77145,90755,92665","3"
"PARM format parameter set","","An older Amber file format for force field parameters","data format","no","","0"
"Object File Format (OFF)","","A file format used by LEaP to save and load objects like UNITs and PARMSETs","data format","yes","77709","1"
"loadPdb","loadPdb","LEaP command to load a structure from a Protein Data Bank file","software","yes","16459,17756,18142,72546,72620,72647,72651,74102,74130,74165,77255,77259,77264,77313,77342,77352,78263,78498,78619,78747,78835,81170,81380,81384,81393,189993","26"
"Commands","","Instructions given to LEaP to manipulate objects","software","yes","2544,3138,3608,3836,4454,14806,15040,15113,16145,27772,39440,54064,68207,72443,72574,72581,72585,72588,72601,72603,72627,72629,72631,72654,72655,72669,72700,72701,72866,72867,73073,73075,73117,73132,73255,73304,73378,73386,73441,73443,73450,73501,73534,73573,73649,74067,74154,74178,74536,74540,74568,74578,74890,74948,75195,75441,76224,76608,77307,78162,78538,78581,78865,78866,79684,79696,80256,80269,80302,80462,80798,80800,80921,80923,81141,81150,83817,83849,83951,83957,84039,84045,84049,84555,86185,86333,86995,86997,87281,87314,87585,87673,88902,90195,90208,92065,92066,92737,93101,93113","123"
"Variables","","Handles for accessing objects within LEaP","software","yes","2917,3367,3448,3499,3507,26779,45934,45937,49220,49325,49675,50263,50688,52703,52838,52976,53172,53412,53794,54127,54527,54863,55042,55543,55569,55675,56134,56430,56434,56436,56800,57470,57474,57475,58525,58529,59116,59120,59716,59720,61502,61725,62745,62784,63284,64791,66745,66749,67370,67371,72574,72675,72680,72717,72718,72761,72805,72813,77047,77048,77202,77284,86410,87138,87933,94272,94596,95942,95946,95951,95962,95999,96098,96519,96883,96894,97034,97068,98887,98896,98902,98951,99239,99539,99543,99619,99628,99634,99665,105881,106564,106565,106591,106762,106787,106790,106801,106811,109553,109636","225"
"Objects","","Fundamental entities in LEaP, such as ATOMs, RESIDUEs, and UNITs","software","yes","48258,72575,72585,72586,72602,72627,72674,72718,72775,72780,72782,72786,72787,72796,72821,72845,72873,72881,72895,72970,73100,73214,73218,73219,73220,73241,74080,77200,77202,77710,77711,77721,77722,77723,97708","40"
"ATOM","ATOM","A complex object in LEaP representing a chemical atom","software|chemical entity","yes","1798,1816,1853,4655,4706,4707,4750,4754,4791,4801,4802,4808,4809,4810,4823,4825,4860,4861,4862,4864,4867,4868,4869,4905,4941,5655,5737,5752,5794,5807,5812,5826,6620,6622,7598,7789,7805,7807,7810,7863,8065,8239,8597,8601,8623,8648,8652,9732,9745,13666,14310,14598,14604,15596,15597,16347,16440,16502,16569,17657,17662,17667,17672,17677,17682,17687,17692,17697,17702,17707,17713,17718,17723,17728,17733,17742,17748,17814,17852,17919,18524,18584,18593,18696,18753,18791,18811,18921,19554,19897,20059,20066,20068,20168,20242,20365,20366,21003,22004,22445","1212"
"RESIDUE","RESIDUE","A complex object in LEaP representing a collection of atoms, like an amino acid","software|chemical entity","yes","1816,1841,4704,4806,4852,4874,4875,4904,4906,4907,4940,4946,5481,7603,7606,7609,7660,9772,11141,11339,11348,11357,11366,12283,12446,12455,12464,12473,12952,12961,12970,12979,13403,13404,13764,14257,14274,14348,14358,14391,14411,14431,14473,14493,14513,14598,14604,14933,15538,16440,16714,16725,16756,16767,17630,17653,17707,17709,17810,17849,18223,18329,19897,19898,23787,23856,23868,24579,25344,36006,36015,49292,61798,61878,64153,64154,64205,64206,64207,64208,64373,64869,67612,67733,67763,67799,67837,67842,67852,67857,67912,67918,67945,67974,68037,68042,68070,68085,68118,68149","678"
"UNIT","UNIT","The most complex object in LEaP, containing RESIDUEs and ATOMs","software","yes","8680,22609,24497,24869,25730,25747,25767,27073,27545,27549,33605,33617,34787,34789,34797,37767,53737,67698,68588,72978,72980,72981,73009,73018,73109,73130,73133,73135,73140,73159,73251,73252,73253,73272,73281,73425,73454,73459,73460,73467,73477,73493,73497,73501,73510,73513,73517,73518,73552,73553,73554,73555,73593,73640,73684,73689,73699,73857,73858,73864,73890,73894,73898,73912,73916,73918,73923,73940,73942,73967,73989,74000,74007,74010,74022,74080,74224,74286,74290,74601,74836,74909,74967,74981,74987,74994,75001,75092,75098,75105,75111,75146,75157,75270,75476,75538,75579,75585,75589,75607","286"
"PARMSET","PARMSET","An object in LEaP containing force field parameters","software|data source","yes","73426,73462,73463,74038,74050,74080,75623,77728","10"
"Atom Name","name","A case-sensitive string property identifying an ATOM","identifier","yes","1604,1606,1663,1948,2086,2234,2318,2357,2377,2439,2451,2726,2841,2858,2870,2901,2925,3015,3354,3633,3645,3659,3737,4047,4051,4060,4065,4135,4234,4554,4556,4590,4619,4704,4706,4906,4946,5163,5543,6537,6761,7271,7275,7418,7759,7808,8065,8066,8068,8547,8593,8597,8613,9685,11137,11339,11348,11357,11366,12252,12446,12455,12464,12473,12789,12952,12961,12970,12979,13295,13378,13404,13424,13764,14253,14573,14633,14933,15119,15538,15644,15945,16263,16440,16555,16714,16756,17707,17840,18223,18250,18433,18456,18470,19401,19423,19452,19897,19957,19982","1061"
"Atom Charge","charge","A number representing the electrostatic point charge of an ATOM","measure","yes","4258,5247,5263,5284,5288,5291,5294,5296,5382,5401,5716,5724,6828,6857,7643,7725,7875,8719,8724,9731,13609,15127,15136,15138,15470,15931,16289,16291,16413,16416,16436,17946,18147,18152,18589,20461,20505,20849,22340,22395,22403,22414,22417,22780,23132,23140,23270,23406,23631,23835,23880,23893,24561,25574,25594,25595,25596,25756,25827,27146,28391,29886,29888,34187,35399,35873,36383,37241,37242,37252,37261,37276,37285,40984,40985,41021,41023,41056,41066,41067,43421,43682,43764,43782,44209,44227,44245,44249,44257,44263,44650,44803,45517,46211,46796,47221,47222,47704,47871,48377","495"
"Atom Position","position","A list of three numbers representing the Cartesian coordinates of an ATOM","measure","yes","4319,9731,11330,12256,12310,12437,12793,12943,13299,13422,16484,16668,17927,30678,30739,31002,33878,34867,39511,39550,48270,48300,48563,48566,60194,69912,69913,69972,69988,70403,71265,72960,73659,73673,74285,75135,76145,78295,78641,78678,78683,78690,78693,79364,79574,79832,79833,80257,80269,106197,108124,108471,109774,128977,129160,131355,134606,136529,136988,141296,157158,157362,157371,157420,164121,164128,166843,167144,167153,167154,171658,176128,176134,176170,176178,176184,177219,177222,177367,177368,178437,180239,183204,184668,196613,197583,199450,199488,199541,199603,199656,199738,199787,199836,199885,199942,200003,200064,200123,200176","169"
"Residue Connection Atom","connect0","An atom in a residue used to form linkages to other residues","identifier","yes","73006,73008,73011,77292,78259,78321,78323,105276","8"
"Residue Type","restype","A string property defining the type of a RESIDUE (e.g., protein, solvent)","identifier","yes","64205,64206,72788,73031,74727,78342,168053","7"
"Unit Head Atom","head","The atom in a UNIT used for connection when joining units","identifier","yes","13592,13603,13607,13608,13621,13720,14011,14271,14411,14493,14593,69661,69815,69954,70022,70346,70718,72314,73009,73126,73133,73172,73192,75713,76016,77547,77567,77836,78324,78395,78396,78402,80663,80695,80703,80825,92671,192700,205376,205595,205648","42"
"Unit Tail Atom","tail","The atom in a UNIT used for connection when joining units","identifier","yes","13621,13720,14271,14391,14431,14473,14513,14593,69369,69373,69912,69913,69941,70743,73018,73130,73133,75717,76020,77551,77571,77835,78331,78396,78401,78402,80261,80292,80490,80500,80510,80520,80671,80711,80719,80820,80830,80845,92671,127894,144771,144781,205377","46"
"Bounding Box","box","A property of a UNIT defining the periodic box dimensions","measure|model","yes","34,4318,15053,15119,22455,23788,23796,26778,26802,26817,26833,26848,26864,26879,28629,28630,30677,30738,31001,32177,32178,32858,32866,32903,32911,33327,33328,33334,33440,33444,33477,33483,33527,33551,33643,33644,33645,33650,33654,33660,33663,33682,33934,33939,33948,33962,33972,34005,34024,34025,34057,34062,34072,34086,34091,34164,34186,34202,34755,34758,34766,34768,34769,34770,34772,34774,34805,34814,34822,34830,34831,34892,34917,36282,37754,37901,38243,38247,38249,38250,38251,38253,38254,38259,38268,38272,38294,38344,38386,38407,38460,38516,39030,40444,41677,41907,41913,43182,48255,49508","365"
"Solvent Cap","cap","A property of a UNIT defining a spherical region of solvent","model","yes","68015,68041,68109,68151,73158,73159,73160,73163,73164,73180,73195,73203,78198,78435,78436,78438,78439,78649,78680,78687,78693,78734,78742,93439,100684,100690,113268,113274,113289,113290,113296,113311,113324,113325,113326,113328,113330,113343,113360,113381,113397,113417,126353","61"
"Universe Editor","Universe Editor","The main window in xleap for command-line interaction","software","yes","73417,73424,73431,73435,73437,73458,74046","7"
"Unit Editor","Unit Editor","A graphical molecule editor within xleap","software","yes","73425,73454,73459,73467,73513,73518,73689,73858,73890,74022","10"
"Atom Properties Editor","Atom Properties Editor","A tool in xleap for editing atom properties in a table format","software","yes","73425,73603,73605,74018,74022,74032,74056","7"
"Parmset Editor","Parmset Editor","A tool in xleap for editing force field parameter sets","software","yes","73426,73462,73463,74038,74050","5"
