"Term","Variable","Description","Category1|Category2|...","really found?","page_numbers","occurrence_count","removal_reason"
"gmx-solvate","gmx-solvate","A GROMACS tool to solvate a system, i.e. immerse it in a box of solvent","software","yes","127","1","Lower-priority member of semantic cluster led by row 449 (Champion: 'solvate')"
"gmx-solvate","gmx-solvate","A GROMACS tool to solvate a system","software","yes","127","1","Lower-priority member of semantic cluster led by row 449 (Champion: 'solvate')"
"gmx-solvate","gmx-solvate","A GROMACS tool to solvate a system, i.e. immerse it in a box of solvent","software","yes","127","1","Lower-priority member of semantic cluster led by row 449 (Champion: 'solvate')"
"gmx-sorient","gmx-sorient","A GROMACS tool to analyze solvent orientation","software","yes","131","1","Lower-priority member of semantic cluster led by row 450 (Champion: 'gmx sorient')"
"gmx-sorient","gmx-sorient","A GROMACS tool to analyze solvent orientation around solutes","software","yes","131","1","Lower-priority member of semantic cluster led by row 450 (Champion: 'gmx sorient')"
"gmx-sorient","gmx-sorient","A GROMACS tool to analyze solvent orientation around solutes","software","yes","131","1","Lower-priority member of semantic cluster led by row 450 (Champion: 'gmx sorient')"
"gmx-sorient","gmx-sorient","A GROMACS tool to analyze solvent orientation around solutes","software","yes","131","1","Lower-priority member of semantic cluster led by row 450 (Champion: 'gmx sorient')"
"gmx-sorient","gmx-sorient","A GROMACS tool to analyze solvent orientation around solutes","software","yes","131","1","Lower-priority member of semantic cluster led by row 450 (Champion: 'gmx sorient')"
"gmx-spatial","gmx-spatial","A GROMACS tool to calculate the spatial distribution function of molecules","software","yes","128","1","Lower-priority member of semantic cluster led by row 454 (Champion: 'gmx spatial')"
"gmx-spatial","gmx-spatial","A GROMACS tool to calculate the spatial distribution function and outputs it in a form that can be read by VMD as Gaussian98 cube format","software","yes","128","1","Lower-priority member of semantic cluster led by row 454 (Champion: 'gmx spatial')"
"gmx-spatial","gmx-spatial","A GROMACS tool to calculate the spatial distribution function and outputs it in a form that can be read by VMD as Gaussian98 cube format","software","yes","128","1","Lower-priority member of semantic cluster led by row 454 (Champion: 'gmx spatial')"
"gmx-spatial","gmx-spatial","A GROMACS tool to calculate the spatial distribution function","software","yes","128","1","Lower-priority member of semantic cluster led by row 454 (Champion: 'gmx spatial')"
"gmx-spatial","gmx-spatial","A GROMACS tool to calculate the spatial distribution function and outputs it in a form that can be read by VMD as Gaussian98 cube format","software","yes","128","1","Lower-priority member of semantic cluster led by row 454 (Champion: 'gmx spatial')"
"gmx-spol","gmx-spol","A GROMACS tool to analyze solvent dipole orientation and polarization","software","yes","131","2","Lower-priority member of semantic cluster led by row 456 (Champion: 'gmx spol')"
"gmx-spol","gmx-spol","A GROMACS tool to analyze dipoles around a solute","software","yes","131","2","Lower-priority member of semantic cluster led by row 456 (Champion: 'gmx spol')"
"gmx-spol","gmx-spol","A GROMACS tool to analyze dipoles around a solute","software","yes","131","2","Lower-priority member of semantic cluster led by row 456 (Champion: 'gmx spol')"
"gmx-spol","gmx-spol","A GROMACS tool to analyze solvent dipole orientation and polarization around solutes","software","yes","131","2","Lower-priority member of semantic cluster led by row 456 (Champion: 'gmx spol')"
"gmx-spol","gmx-spol","A GROMACS tool to analyze dipoles around a solute","software","yes","131","2","Lower-priority member of semantic cluster led by row 456 (Champion: 'gmx spol')"
"gmx-tcaf","gmx-tcaf","A GROMACS tool to calculate viscosities","software","yes","131","1","Lower-priority member of semantic cluster led by row 459 (Champion: 'gmx tcaf')"
"gmx-tcaf","gmx-tcaf","A GROMACS tool to compute tranverse current autocorrelations","software","yes","131","1","Lower-priority member of semantic cluster led by row 459 (Champion: 'gmx tcaf')"
"gmx-tcaf","gmx-tcaf","A GROMACS tool to compute tranverse current autocorrelations","software","yes","131","1","Lower-priority member of semantic cluster led by row 459 (Champion: 'gmx tcaf')"
"gmx-tcaf","gmx-tcaf","A GROMACS tool to calculate viscosities of liquids","software","yes","131","1","Lower-priority member of semantic cluster led by row 459 (Champion: 'gmx tcaf')"
"gmx-tcaf","gmx-tcaf","A GROMACS tool to compute tranverse current autocorrelations","software","yes","131","1","Lower-priority member of semantic cluster led by row 459 (Champion: 'gmx tcaf')"
"gmx-traj","gmx-traj","A GROMACS tool to plot various properties from a trajectory file","software","yes","128,130,131","3","Lower-priority member of semantic cluster led by row 464 (Champion: 'gmx traj')"
"gmx-traj","gmx-traj","A GROMACS tool to plot coordinates, velocities, forces and/or the box","software","yes","128,130,131","3","Lower-priority member of semantic cluster led by row 464 (Champion: 'gmx traj')"
"gmx-traj","gmx-traj","A GROMACS tool to plot x, v, f, box, temperature and rotational energy from trajectories","software","yes","128,130,131","3","Lower-priority member of semantic cluster led by row 464 (Champion: 'gmx traj')"
"gmx-traj","gmx-traj","A GROMACS tool to plot coordinates, velocities, forces and/or the box","software","yes","128,130,131","3","Lower-priority member of semantic cluster led by row 464 (Champion: 'gmx traj')"
"gmx-trajectory","gmx-trajectory","A GROMACS tool to print coordinates, velocities, or forces from a trajectory","software","yes","127","1","Lower-priority member of semantic cluster led by row 653 (Champion: 'gmx-trajectory')"
"gmx-trjcat","gmx-trjcat","A GROMACS tool to concatenate trajectory files","software","yes","128","1","Lower-priority member of semantic cluster led by row 468 (Champion: 'trjcat')"
"gmx-trjcat","gmx-trjcat","A GROMACS tool to concatenate several input trajectory files in sorted order","software","yes","128","1","Lower-priority member of semantic cluster led by row 468 (Champion: 'trjcat')"
"gmx-trjcat","gmx-trjcat","A GROMACS tool to concatenate several input trajectory files in sorted order","software","yes","128","1","Lower-priority member of semantic cluster led by row 468 (Champion: 'trjcat')"
"gmx-trjcat","gmx-trjcat","A GROMACS tool to concatenate trajectory files","software","yes","128","1","Lower-priority member of semantic cluster led by row 468 (Champion: 'trjcat')"
"gmx-trjcat","gmx-trjcat","A GROMACS tool to concatenate several input trajectory files in sorted order","software","yes","128","1","Lower-priority member of semantic cluster led by row 468 (Champion: 'trjcat')"
"gmx-trjconv","gmx-trjconv","A GROMACS tool to convert trajectory files in many ways","software","yes","128","1","Lower-priority member of semantic cluster led by row 1212 (Champion: 'trjconv')"
"gmx-trjconv","gmx-trjconv","A GROMACS tool to convert trajectory files in many ways","software","yes","128","1","Lower-priority member of semantic cluster led by row 1212 (Champion: 'trjconv')"
"gmx-trjconv","gmx-trjconv","A GROMACS tool to convert and manipulates trajectory files","software","yes","128","1","Lower-priority member of semantic cluster led by row 1212 (Champion: 'trjconv')"
"gmx-trjconv","gmx-trjconv","A GROMACS tool to convert trajectory files in many ways","software","yes","128","1","Lower-priority member of semantic cluster led by row 1212 (Champion: 'trjconv')"
"gmx-trjorder","gmx-trjorder","A GROMACS tool to order molecules based on their distance to a group","software","yes","129","1","Lower-priority member of semantic cluster led by row 471 (Champion: 'gmx trjorder')"
"gmx-trjorder","gmx-trjorder","A GROMACS tool to order molecules according to the smallest distance to atoms in a reference group or on z-coordinate","software","yes","129","1","Lower-priority member of semantic cluster led by row 471 (Champion: 'gmx trjorder')"
"gmx-trjorder","gmx-trjorder","A GROMACS tool to order molecules according to the smallest distance to atoms in a reference group or on z-coordinate","software","yes","129","1","Lower-priority member of semantic cluster led by row 471 (Champion: 'gmx trjorder')"
"gmx-trjorder","gmx-trjorder","A GROMACS tool to order molecules according to their distance to a group","software","yes","129","1","Lower-priority member of semantic cluster led by row 471 (Champion: 'gmx trjorder')"
"gmx-trjorder","gmx-trjorder","A GROMACS tool to order molecules according to the smallest distance to atoms in a reference group or on z-coordinate","software","yes","129","1","Lower-priority member of semantic cluster led by row 471 (Champion: 'gmx trjorder')"
"gmx-tune_pme","gmx-tune_pme","A GROMACS tool to systematically time gmx mdrun with various numbers of PME-only ranks and determines which setting is fastest","software","yes","129,298","3","Lower-priority member of semantic cluster led by row 475 (Champion: 'gmx tune_pme')"
"gmx-tune_pme","gmx-tune_pme","A GROMACS tool to systematically time gmx mdrun with various numbers of PME-only ranks and determines which setting is fastest","software","yes","129,298","3","Lower-priority member of semantic cluster led by row 475 (Champion: 'gmx tune_pme')"
"gmx-tune_pme","gmx-tune_pme","A GROMACS tool to time mdrun as a function of PME ranks to optimize settings","software","yes","129,298","3","Lower-priority member of semantic cluster led by row 475 (Champion: 'gmx tune_pme')"
"gmx-tune_pme","gmx-tune_pme","A GROMACS tool to systematically time gmx mdrun with various numbers of PME-only ranks and determines which setting is fastest","software","yes","129,298","3","Lower-priority member of semantic cluster led by row 475 (Champion: 'gmx tune_pme')"
"gmx-vanhove","gmx-vanhove","A GROMACS tool to compute Van Hove correlation functions","software","yes","130,131","2","Lower-priority member of semantic cluster led by row 1452 (Champion: 'gmx vanhove')"
"gmx-vanhove","gmx-vanhove","A GROMACS tool to compute Van Hove displacement and correlation functions","software","yes","130,131","2","Lower-priority member of semantic cluster led by row 1452 (Champion: 'gmx vanhove')"
"gmx-vanhove","gmx-vanhove","A GROMACS tool to compute Van Hove displacement and correlation functions","software","yes","130,131","2","Lower-priority member of semantic cluster led by row 1452 (Champion: 'gmx vanhove')"
"gmx-vanhove","gmx-vanhove","A GROMACS tool to compute Van Hove displacement and correlation functions","software","yes","130,131","2","Lower-priority member of semantic cluster led by row 1452 (Champion: 'gmx vanhove')"
"gmx-velacc","gmx-velacc","A GROMACS tool to calculate velocity autocorrelation functions","software","yes","131","1","Lower-priority member of semantic cluster led by row 478 (Champion: 'gmx velacc')"
"gmx-velacc","gmx-velacc","A GROMACS tool to calculate velocity autocorrelation functions","software","yes","131","1","Lower-priority member of semantic cluster led by row 478 (Champion: 'gmx velacc')"
"gmx-velacc","gmx-velacc","A GROMACS tool to calculate velocity autocorrelation functions","software","yes","131","1","Lower-priority member of semantic cluster led by row 478 (Champion: 'gmx velacc')"
"gmx-velacc","gmx-velacc","A GROMACS tool to calculate velocity autocorrelation functions","software","yes","131","1","Lower-priority member of semantic cluster led by row 478 (Champion: 'gmx velacc')"
"gmx-wham","gmx-wham","A GROMACS tool to perform weighted histogram analysis (WHAM)","software","yes","129","1","Lower-priority member of semantic cluster led by row 681 (Champion: 'gmx-wham')"
"gmx-wham","gmx-wham","A GROMACS tool to perform weighted histogram analysis after umbrella sampling","software","yes","129","1","Lower-priority member of semantic cluster led by row 681 (Champion: 'gmx-wham')"
"gmx-wham","gmx-wham","A GROMACS tool to perform weighted histogram analysis after umbrella sampling","software","yes","129","1","Lower-priority member of semantic cluster led by row 681 (Champion: 'gmx-wham')"
"gmx-wheel","gmx-wheel","A GROMACS tool to plot helical wheels","software","yes","132","1","Lower-priority member of semantic cluster led by row 485 (Champion: 'gmx wheel')"
"gmx-wheel","gmx-wheel","A GROMACS tool to plot helical wheels","software","yes","132","1","Lower-priority member of semantic cluster led by row 485 (Champion: 'gmx wheel')"
"gmx-wheel","gmx-wheel","A GROMACS tool to plot helical wheels","software","yes","132","1","Lower-priority member of semantic cluster led by row 485 (Champion: 'gmx wheel')"
"gmx-wheel","gmx-wheel","A GROMACS tool to plot helical wheels","software","yes","132","1","Lower-priority member of semantic cluster led by row 485 (Champion: 'gmx wheel')"
"gmx-x2top","gmx-x2top","A GROMACS tool to generate a primitive topology from coordinates","software","yes","127","1","Lower-priority member of semantic cluster led by row 1459 (Champion: 'gmx x2top')"
"gmx-x2top","gmx-x2top","A GROMACS tool to generate a primitive topology from coordinates","software","yes","127","1","Lower-priority member of semantic cluster led by row 1459 (Champion: 'gmx x2top')"
"gmx-x2top","gmx-x2top","A GROMACS tool to generate a primitive topology from coordinates","software","yes","127","1","Lower-priority member of semantic cluster led by row 1459 (Champion: 'gmx x2top')"
"gmx-x2top","gmx-x2top","A GROMACS tool to generate a primitive topology from coordinates","software","yes","127","1","Lower-priority member of semantic cluster led by row 1459 (Champion: 'gmx x2top')"
"gmx-xpm2ps","gmx-xpm2ps","A GROMACS tool to convert XPM matrices to PostScript","software","yes","128,129","2","Lower-priority member of semantic cluster led by row 492 (Champion: 'gmx xpm2ps')"
"gmx-xpm2ps","gmx-xpm2ps","A GROMACS tool to convert XPM (XPixelMap) matrices to postscript or XPM","software","yes","128,129","2","Lower-priority member of semantic cluster led by row 492 (Champion: 'gmx xpm2ps')"
"gmx-xpm2ps","gmx-xpm2ps","A GROMACS tool to convert XPM (XPixelMap) matrices to postscript or XPM","software","yes","128,129","2","Lower-priority member of semantic cluster led by row 492 (Champion: 'gmx xpm2ps')"
"gmx-xpm2ps","gmx-xpm2ps","A GROMACS tool to convert XPM (XPixelMap) matrices to postscript or XPM","software","yes","128,129","2","Lower-priority member of semantic cluster led by row 492 (Champion: 'gmx xpm2ps')"
"GMX_ASSERT","GMX_ASSERT","A GROMACS macro for assertions in debug and development builds","software","yes","669,673,674,675","4","Lower-priority member of semantic cluster led by row 696 (Champion: 'GMX_ASSERT')"
"GMX_CUDA_GRAPH","GMX_CUDA_GRAPH","An environment variable to activate the CUDA Graphs feature","identifier","yes","114,344,766","3","Lower-priority member of semantic cluster led by row 699 (Champion: 'GMX_CUDA_GRAPH')"
"GMX_CUDA_GRAPH","GMX_CUDA_GRAPH","An environment variable to optionally activate the CUDA Graphs feature","identifier","yes","114,344,766","3","Lower-priority member of semantic cluster led by row 699 (Champion: 'GMX_CUDA_GRAPH')"
"GMX_CUDA_GRAPH","GMX_CUDA_GRAPH","An environment variable to optionally activate the CUDA Graphs feature","identifier","yes","114,344,766","3","Lower-priority member of semantic cluster led by row 699 (Champion: 'GMX_CUDA_GRAPH')"
"GMX_DSSP_PROGRAM_PATH","GMX_DSSP_PROGRAM_PATH","A new way to configure the default path for the dssp executable","identifier","yes","823","1","Lower-priority member of semantic cluster led by row 702 (Champion: 'GMX_DSSP_PROGRAM_PATH')"
"GMX_GPU_NB_CLUSTER_SIZE","GMX_GPU_NB_CLUSTER_SIZE","A CMake variable to set the non-bonded cluster size for GPU runs","identifier","yes","727,748,768,791","4","Lower-priority member of semantic cluster led by row 705 (Champion: 'GMX_GPU_NB_CLUSTER_SIZE')"
"GMX_GPU_NB_CLUSTER_SIZE","GMX_GPU_NB_CLUSTER_SIZE","The current CMake variable for GPU non-bonded cluster size","identifier","yes","727,748,768,791","4","Lower-priority member of semantic cluster led by row 705 (Champion: 'GMX_GPU_NB_CLUSTER_SIZE')"
"GMX_GPU_PME_DECOMPOSITION","GMX_GPU_PME_DECOMPOSITION","An environment variable to enable GPU-based PME decomposition","identifier","yes","346,765","2","Lower-priority member of semantic cluster led by row 708 (Champion: 'GMX_GPU_PME_DECOMPOSITION')"
"GMX_GPU_PME_DECOMPOSITION","GMX_GPU_PME_DECOMPOSITION","An environment variable to enable the experimental GPU-based PME decomposition feature","identifier","yes","346,765","2","Lower-priority member of semantic cluster led by row 708 (Champion: 'GMX_GPU_PME_DECOMPOSITION')"
"GMX_GPU_PME_DECOMPOSITION","GMX_GPU_PME_DECOMPOSITION","An environment variable to enable the experimental GPU-based PME decomposition feature","identifier","yes","346,765","2","Lower-priority member of semantic cluster led by row 708 (Champion: 'GMX_GPU_PME_DECOMPOSITION')"
"GMX_INSTALL_NBLIB_API","GMX_INSTALL_NBLIB_API","A CMake variable to install the NB-LIB API headers","identifier","yes","650,718,794","5","Lower-priority member of semantic cluster led by row 712 (Champion: 'GMX_INSTALL_NBLIB_API')"
"GMX_INSTALL_NBLIB_API","GMX_INSTALL_NBLIB_API","A CMake option to install the NB-Lib API, now initialized from BUILD_SHARED_LIBS","identifier","yes","650,718,794","5","Lower-priority member of semantic cluster led by row 712 (Champion: 'GMX_INSTALL_NBLIB_API')"
"GMX_MPI","GMX_MPI","A CMake variable to enable MPI support","identifier","yes","15,20,36,95,96,101,106,107,125,297,300,648,716,734,906","27","Lower-priority member of semantic cluster led by row 715 (Champion: 'gmx_mpi')"
"GMX_OPENCL_NB_CLUSTER_SIZE","GMX_OPENCL_NB_CLUSTER_SIZE","A deprecated CMake variable for OpenCL non-bonded cluster size","identifier","yes","727,748,768,791","4","Lower-priority member of semantic cluster led by row 717 (Champion: 'GMX_OPENCL_NB_CLUSTER_SIZE')"
"GMX_OPENCL_NB_CLUSTER_SIZE","GMX_OPENCL_NB_CLUSTER_SIZE","A deprecated CMake variable for OpenCL cluster size","identifier","yes","727,748,768,791","4","Lower-priority member of semantic cluster led by row 717 (Champion: 'GMX_OPENCL_NB_CLUSTER_SIZE')"
"GMX_RELEASE_ASSERT","GMX_RELEASE_ASSERT","A GROMACS macro for assertions that are active in all build types","software","yes","669,674,675","3","Lower-priority member of semantic cluster led by row 719 (Champion: 'GMX_RELEASE_ASSERT')"
"GMX_THROW","GMX_THROW","A GROMACS macro for throwing exceptions","software","no","","0","Lower-priority member of semantic cluster led by row 721 (Champion: 'GMX_THROW')"
"GMX_VERSION_STRING_OF_FORK","Introduced CMake variable GMX_VERSION_STRING_OF_FORK","A variable to help identify forked versions of GROMACS","identifier","yes","640,835","3","Lower-priority member of semantic cluster led by row 723 (Champion: 'GMX_VERSION_STRING_OF_FORK')"
"GMXAPI","GMXAPI","A CMake variable to enable building the gmxapi C++ library","identifier","yes","8,9,24,31,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,641,650,651,661,668,715,716,718,747,759,760,764,765,767,782,789,794,795,796,801,802,803,816,829,830,848,849,920","468","Lower-priority member of semantic cluster led by row 727 (Champion: 'gmxapi')"
"gmxapi","gmxapi","A Python and C++ API for interfacing with GROMACS","software","yes","8,9,24,31,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,641,650,651,661,668,715,716,718,747,759,760,764,765,767,782,789,794,795,796,801,802,803,816,829,830,848,849,920","468","Lower-priority member of semantic cluster led by row 727 (Champion: 'gmxapi')"
"GMXAPI build option","GMXAPI","A CMake option to build the gmxapi library, now initialized from BUILD_SHARED_LIBS","identifier","no","","0","Lower-priority member of semantic cluster led by row 727 (Champion: 'gmxapi')"
"GMXAPI build option","GMXAPI","A CMake option to build the gmxapi library, now initialized from BUILD_SHARED_LIBS","identifier","no","","0","Lower-priority member of semantic cluster led by row 727 (Champion: 'gmxapi')"
"gmxapi-cppdocs target","gmxapi-cppdocs","A build target for generating the gmxapi C++ API documentation","software","no","","0","Lower-priority member of semantic cluster led by row 730 (Champion: 'gmxapi-cppdocs target')"
"gmxapi.commandline_operation","gmxapi.commandline_operation","A gmxapi function to wrap a command-line tool as a gmxapi operation","software","yes","610,617,747,759,782,789,796","9","Lower-priority member of semantic cluster led by row 733 (Champion: 'gmxapi.commandline_operation')"
"gmxapi.mdrun","gmxapi.mdrun","The gmxapi operation for running a molecular dynamics simulation","software","yes","611,612,614,621,760,765,795,796","13","Lower-priority member of semantic cluster led by row 882 (Champion: 'mdrun')"
"gmxapi.mdrun runtime arguments","gmxapi.mdrun accepts arbitrary runtime arguments","A feature to pass arbitrary command-line arguments to mdrun via gmxapi","software","no","","0","Lower-priority member of semantic cluster led by row 735 (Champion: 'gmxapi.commandline_operation runtime arguments')"
"gmxapi.mdrun stdout/stderr","gmxapi.mdrun now captures STDOUT and STDERR","New output attributes from gmxapi.mdrun that capture the standard output and error streams","software","no","","0","Lower-priority member of semantic cluster led by row 738 (Champion: 'gmxapi.mdrun stdout/stderr')"
"gmxapi.mdrun stdout/stderr","gmxapi.mdrun now captures STDOUT and STDERR","New output attributes from gmxapi.mdrun that capture the standard output and error streams of the simulation","software","no","","0","Lower-priority member of semantic cluster led by row 738 (Champion: 'gmxapi.mdrun stdout/stderr')"
"gmxapi.mdrun stdout/stderr","gmxapi.mdrun stdout/stderr","New outputs that capture the standard output and error streams of mdrun","software","no","","0","Lower-priority member of semantic cluster led by row 738 (Champion: 'gmxapi.mdrun stdout/stderr')"
"gmxapi.mdrun().output.directory","gmxapi.mdrun().output.directory","A new output attribute providing the path to the simulation working directory","software","yes","765","1","Lower-priority member of semantic cluster led by row 743 (Champion: 'gmxapi.mdrun().output.directory')"
"gmxapi.mdrun().output.directory","gmxapi.mdrun().output.directory","A new output attribute from gmxapi.mdrun providing the simulation working directory path","software","yes","765","1","Lower-priority member of semantic cluster led by row 743 (Champion: 'gmxapi.mdrun().output.directory')"
"gmxapi.mdrun().output.directory","gmxapi.mdrun().output.directory","A new output attribute from gmxapi.mdrun that provides the path to the simulation working directory","software","yes","765","1","Lower-priority member of semantic cluster led by row 743 (Champion: 'gmxapi.mdrun().output.directory')"
"gmxapi.modify_input","gmxapi.modify_input","A gmxapi operation to modify simulation input parameters","software","yes","612,620","2","Lower-priority member of semantic cluster led by row 746 (Champion: 'modify_input')"
"gmxapi.read_tpr","gmxapi.read_tpr","A gmxapi function to create a simulation input object from a TPR file","software","yes","611,612,620","3","Lower-priority member of semantic cluster led by row 748 (Champion: 'read_tpr')"
"GMXLIB","GMXLIB","An environment variable to provide alternative locations for GROMACS data files","identifier","yes","42,49,226,246,258,279,352,354,357,491,544,660,675,885","17","Lower-priority member of semantic cluster led by row 749 (Champion: 'GMXLIB')"
"gmxpre-config.h","gmxpre-config.h","A generated header file included first, containing pre-configuration defines","data format","yes","652,664","2","Lower-priority member of semantic cluster led by row 751 (Champion: 'gmxpre-config.h')"
"GMXRC","GMXRC","A GROMACS configuration script that sets up the user's environment","software","yes","15,35,36,342,559,596,597,598,601,607,609,641,659,660,661,717,743,782","29","Lower-priority member of semantic cluster led by row 753 (Champion: 'GMXRC')"
"GMXRC script","GMXRC","A GROMACS shell script to set up the environment for running GROMACS tools","software","yes","35,559,641","4","Lower-priority member of semantic cluster led by row 753 (Champion: 'GMXRC')"
"GPU API considerations","GPU API considerations","Specific coding guidelines for writing code that targets GPUs (CUDA, OpenCL, SYCL)","process","yes","667,670","2","Lower-priority member of semantic cluster led by row 756 (Champion: 'GPU API considerations')"
"GPU direct communication","GPU direct communication","A feature for which crashes in atypical run configurations were fixed","method|software","yes","752,777,784,786","6","Lower-priority member of semantic cluster led by row 758 (Champion: 'GPU direct communication')"
"GPU version of LINCS","Bug fix for the GPU version of LINCS in multiple domain case","A fix for a memory re-allocation issue in the GPU LINCS implementation","software","yes","820","1","Lower-priority member of semantic cluster led by row 760 (Champion: 'GPU version of LINCS')"
"graph and modular simulations","Fix simulations using graph and modular simulations","A fix for a segmentation fault when using the modular simulator and a graph object","software","yes","828","1","Lower-priority member of semantic cluster led by row 762 (Champion: 'graph and modular simulations')"
"GROMOS","GROMOS","A widely used family of molecular dynamics force fields","model","yes","3,43,52,151,153,183,203,246,247,354,355,421,423,427,442,445,449,460,461,462,465,469,471,473,488,489,491,492,493,496,590,591,632,790,805,845,907","78","Lower-priority member of semantic cluster led by row 765 (Champion: 'GROMOS')"
"gromos clustering","gromos","A clustering algorithm based on counting neighbors within a cutoff","algorithm","no","","0","Lower-priority member of semantic cluster led by row 765 (Champion: 'GROMOS')"
"GROMOS force fields warning","Added warning with the use of GROMOS force fields","A new warning in grompp about using GROMOS force fields with single-range cut-offs","software","no","","0","Lower-priority member of semantic cluster led by row 767 (Champion: 'GROMOS force fields warning')"
"GROMACS preprocessor","grompp","Program that processes topology and coordinate files for a simulation","software","yes","202,437","2","Lower-priority member of semantic cluster led by row 770 (Champion: 'grompp')"
"grompp with frozen system","Fix crash of grompp when the whole system is frozen","A fix for a segmentation fault when the entire system was frozen","software","no","","0","Lower-priority member of semantic cluster led by row 771 (Champion: 'grompp with frozen system')"
"Hydrogen database file","hdb","File containing rules for adding hydrogen atoms to structures","data format","no","","0","Lower-priority member of semantic cluster led by row 773 (Champion: 'Hydrogen database')"
"heFFTe","heFFTe","A library for fast Fourier transforms on large-scale systems","software","yes","23,111,346,695,722,744,745,764,765,770","30","Lower-priority member of semantic cluster led by row 775 (Champion: 'HeFFTe')"
"Helical wheel projection","helical wheel","A 2D projection of an alpha-helix to visualize the distribution of residue types","data format","yes","576,577","2","Lower-priority member of semantic cluster led by row 777 (Champion: 'Helical wheel')"
"Helix radius","Helix radius","The RMS deviation of C-alpha atoms from the helical axis","measure","yes","214","1","Lower-priority member of semantic cluster led by row 779 (Champion: 'Helix radius')"
"Helix rise","Rise per residue","The translation along the helical axis per residue","measure","no","","0","Lower-priority member of semantic cluster led by row 781 (Champion: 'Helix rise')"
"Helix twist","Twist","The average helical angle per residue","measure","no","","0","Lower-priority member of semantic cluster led by row 783 (Champion: 'Helix twist')"
"Hessian matrix","Hessian","The matrix of second derivatives of the potential energy","model","yes","180,223,226,229,236,299,300,366,404,850","13","Lower-priority member of semantic cluster led by row 786 (Champion: 'Hessian matrix')"
"Hessian matrix","Hessian matrix","A square matrix of second-order partial derivatives of a function","model","yes","180,223,226,229,236,299,300,366,404,850","13","Lower-priority member of semantic cluster led by row 786 (Champion: 'Hessian matrix')"
"HPC Container Maker","HPC Container Maker","A tool from NVIDIA for generating container specification files","software","yes","694,696","2","Lower-priority member of semantic cluster led by row 788 (Champion: 'HPC Container Maker')"
"Hungarian notation","hungarian notation","A naming convention where a prefix indicates the variable's type (e.g., 'b' for boolean)","identifier","yes","666","2","Lower-priority member of semantic cluster led by row 790 (Champion: 'Hungarian notation')"
"hwloc","hwloc","A hardware locality library, for which support for version 1 is being removed","software","yes","14,23,348,728,748,768,792,812,862,898,903,914","28","Lower-priority member of semantic cluster led by row 792 (Champion: 'hwloc')"
"hwloc version 1","Support for version 1 of the hardware locality library hwloc","Support for this older version is deprecated","software","no","","0","Lower-priority member of semantic cluster led by row 794 (Champion: 'hwloc version 1')"
"IBM VMX SIMD","IBM VMX SIMD","A removed SIMD instruction set for PowerPC","software","yes","793","1","Lower-priority member of semantic cluster led by row 796 (Champion: 'IBM VMX SIMD')"
"IBM_VSX support","Give clearer message about not detecting IBM_VSX support in gcc > 9","A fix to provide a more informative error message from CMake","software","yes","825","1","Lower-priority member of semantic cluster led by row 798 (Champion: 'IBM_VSX support')"
"ICC NextGen","Add support for ICC NextGen","Support for the Intel Compiler based on LLVM technology","software","yes","829","1","Lower-priority member of semantic cluster led by row 800 (Champion: 'ICC NextGen')"
"ImageMagick","ImageMagick","A software suite for image manipulation, used as a dependency for documentation","software","yes","661,662","2","Lower-priority member of semantic cluster led by row 802 (Champion: 'ImageMagick')"
"Index editor","index editor","An interactive tool within gmx make_ndx for creating and manipulating index groups","software","yes","224","1","Lower-priority member of semantic cluster led by row 804 (Champion: 'Index editor')"
"Index file","ndx","A file that defines named groups of atoms","data format","yes","43,72,79,134,139,140,144,146,151,152,154,155,156,160,162,163,164,165,167,170,173,176,181,184,192,194,199,200,201,203,206,207,208,209,211,212,214,215,217,222,224,225,228,231,233,237,242,243,247,250,251,253,258,260,262,263,265,267,270,273,274,276,281,283,284,285,287,291,294,296,300,302,304,324,334,493,499,536,546,561,562,563,569,570,574,576,725,762,775,800,841,847","143","Lower-priority member of semantic cluster led by row 806 (Champion: 'Index File')"
"ingroup","\ingroup","A Doxygen command to add an item to an existing documentation group","software","yes","678,679,681,683,684,686,700","11","Lower-priority member of semantic cluster led by row 808 (Champion: 'ingroup')"
"initial DLB state","Fixed initial DLB state reporting","A fix for incorrect reporting of the initial dynamic load balancing state in the log file","software","yes","826","2","Lower-priority member of semantic cluster led by row 810 (Champion: 'initial DLB state')"
"inlibraryapi","\inlibraryapi","A GROMACS-specific Doxygen command to mark a header as part of the library API","software","yes","679,680,681","5","Lower-priority member of semantic cluster led by row 812 (Champion: 'inlibraryapi')"
"inpublicapi","\inpublicapi","A GROMACS-specific Doxygen command to mark a header as part of the public API","software","yes","679,680,681,683,686","7","Lower-priority member of semantic cluster led by row 814 (Champion: 'inpublicapi')"
"install-guide target","install-guide","A build target that generates the plain-text INSTALL file","software","no","","0","Lower-priority member of semantic cluster led by row 816 (Champion: 'install-guide target')"
"integer overflow with dispersion correction","Avoid integer overflow when using dispersion correction","A fix for an integer overflow in the index type for dispersion correction","software","no","","0","Lower-priority member of semantic cluster led by row 818 (Champion: 'integer overflow with dispersion correction')"
