"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count"
"PME Solvent Energy Density","PME-dens","Mean PME solvent energy density in a voxel.","measure|identifier","yes","30061,30070,30072","3"
"Normalized Water-Water Interaction Energy","Eww-norm","Mean water-water interaction energy per water molecule in a voxel.","measure|identifier","yes","30079,30091,30574,30875,30884,31068","6"
"Dipole Moment Density (X-component)","Dipole_x-dens","The x-component of the mean water dipole moment density.","measure|identifier","yes","30101","1"
"Dipole Moment Density (Y-component)","Dipole_y-dens","The y-component of the mean water dipole moment density.","measure|identifier","yes","30113","1"
"Dipole Moment Density (Z-component)","Dipole_z-dens","The z-component of the mean water dipole moment density.","measure|identifier","yes","30125","1"
"Dipole Moment Density Magnitude","Dipole-dens","The magnitude of the mean water dipole moment density (polarization).","measure|identifier","yes","30137,30237,30261","3"
"Neighbor Density","Neighbor-dens","The density of neighboring water molecules around a central water.","measure|identifier","yes","30149","1"
"Normalized Neighbor Count","Neighbor-norm","The mean number of neighbors per water molecule in a voxel.","measure|identifier","yes","30166,30238,30375","3"
"Normalized Tetrahedral Order Parameter","Order-norm","The average tetrahedral order parameter for water molecules in a voxel.","measure|identifier","yes","30175,30238,30243,30387","4"
"Tetrahedral Order Parameter","q_tet","A measure of the tetrahedral arrangement of a water molecule's neighbors.","measure|model","yes","29374,30177,30389","3"
"Placevent","Placevent","A program to define spherical hydration sites from density distributions.","software","yes","30246","1"
"Inhomogeneous Fluid Solvation Theory","Inhomogeneous fluid solvation theory","The theoretical framework underlying the GIST analysis method.","model|method","yes","30523,30921","2"
"TIP3P Water Model","TIP3P","A specific three-site rigid water model.","model|chemical entity","yes","2130,13386,30598","3"
"TIP4PEW Water Model","TIP4PEW","A specific four-site rigid water model optimized for Ewald sums.","model|chemical entity","yes","30627","1"
"TIP4P Water Model","TIP4P","A specific four-site rigid water model.","model|chemical entity","yes","30656","1"
"TIP5P Water Model","TIP5P","A specific five-site rigid water model.","model|chemical entity","yes","30685","1"
"Tip3PFW Water Model","Tip3PFW","A flexible three-site water model.","model|chemical entity","yes","30714","1"
"SPCE Water Model","SPCE","A standard three-site rigid water model (Simple Point Charge/Extended).","model|chemical entity","yes","30743","1"
"SPCFW Water Model","SPCFW","A flexible three-site water model.","model|chemical entity","yes","30772","1"
"Grid Binning","grid","An action that bins atomic positions onto a three-dimensional grid.","method|process","yes","2951,3267,5470,5629,5639,5647,5655,5663,6105,6123,6131,6132,15969,16029,16035,20515,20988,21281,21301,21310,22847,24561,24562,24583,24591,24633,24636,24640,26903,26908,26932,26940,26941,26965,26991,27007,27011,27019,27027,27033,27041,27067,27075,27103,27674,28116,28822,28856,29003,29011,29032,29045,29082,29086,29174,29324,29394,29398,29487,29502,29503,29529,29619,29622,29625,29662,29664,29666,29699,29706,29755,29764,29770,29991,30233,30399,30414,30466,31010,31026,31093,31109,31120,31173,31178,31202,31210,31211,31235,31261,31277,31281,31289,31297,31303,31311,31337,31345,31349,31353","152"
"Hydrogen Bond Analysis","hbond","An action to identify hydrogen bonds based on geometric criteria.","method|analysis","yes","1257,4185,13538,20033,21330,31646,31649,31657,31662,31854,31862,32378,32403,32412,32421,32448,32869,32875,32990,32998,33018,33050,37266,51228,51238,51318,51389,51401,51411,51427,51431","32"
"Solvent Bridge","bridging","A solvent molecule that is hydrogen-bonded to two or more solute residues.","chemical entity|state","yes","31719,31720,31834,31963,31975,32168,32273,32891,32908,32993,32994,32995,33002,33051","14"
"Periodic Boundary Imaging","image","An action that wraps coordinates back into the primary periodic box.","method|process","yes","20427,21359,21368,22754,22974,24080,24108,24113,24147,24151,24163,24976,27235,29963,29997,30322,30337,30542,31574,31675,31793,32047,32458,32462,32467,32485,32490,32508,32509,32514,32518,32522,32526,32565,32571,32582,32591,32604,33195,33218,35091,35210,35223,36834,38536,38825,42577,42674,43628,43736,55669","54"
"J-Coupling Calculation","jcoupling","An action to calculate scalar J-coupling values from dihedral angles.","method|measure","yes","21395,32612,32616,32621","4"
"Karplus Equation","Karplus parameters","An equation that relates dihedral angles to J-coupling constants.","model|method","yes","32659,32697,32751","3"
"Atom Keeping","keep","An action that retains only a specified subset of atoms.","method|process","yes","1882,7719,7758,10613,10816,10829,10843,10867,16148,18960,19469,19713,19729,19883,21424,21433,25238,25263,27091,28260,32165,32171,32822,32825,32833,32841,32891,32916,32934,32980,33034,33042,33051,33067,33073,33077,42872,45852,53383,53946","43"
"LES Trajectory Splitting","lessplit","An action to split or average frames from Locally-Enhanced Sampling trajectories.","method|process","yes","21453,33085,33089","3"
"Linear Interaction Energy","lie","An action to calculate non-bonded interaction energy between a ligand and its surroundings.","method|measure","yes","21482,21491,24201,33146,33150,33155","6"
"Lipid Order Parameter Calculation","lipidorder","An action to calculate order parameters for lipids in membranes.","method|measure","yes","1064,21512,33233,33406","4"
"Lipid SCD Order Parameter Calculation","lipidscd","An action to calculate lipid order parameters |SCD| for acyl chains.","method|measure","yes","1265,21541,33448,33452","4"
"Structure Building","makestructure","An action to modify a structure by applying specified dihedral angles.","method|process","yes","21571,33517,33521,34238,34248,34274,34283,34292,34330","9"
"Dynamic Mask Selection","mask","An action to evaluate and report a selection mask for each frame.","method|identifier","yes","214,272,423,431,587,596,601,605,613,629,832,970,1269,1546,1550,1692,1716,1827,1836,1894,1904,1930,1987,2001,2008,2334,2388,2389,2421,2572,2576,2608,2611,2668,2717,2720,2749,6965,7019,7023,7129,7170,7719,7758,7781,7789,8330,8505,8548,8564,8574,8652,8686,8790,9020,10014,10147,10938,10979,12472,12500,12512,13248,13252,13257,13262,13435,13439,13450,14586,14607,14654,14688,14701,14807,14828,14943,14947,14951,14955,14959,14976,15045,15053,15065,15073,15085,15110,15123,15155,15169,15177,15289,15326,15380,15405,15427,15549,15574,15640","513"
"Matrix Calculation","matrix","An action to calculate various types of matrices from coordinates.","method|process","yes","1273,5438,5592,5597,5601,5621,6786,9287,9288,9304,9320,9346,9354,9367,9384,9390,9392,9674,10661,11855,11873,11902,11931,11960,11989,12018,12047,12076,12301,12302,12338,12350,12357,18896,18918,18936,19790,19805,21630,21639,24447,24453,24776,24793,24801,24809,28933,29390,29720,31889,31899,31908,32016,34579,34583,34620,34660,34712,34724,34736,34756,34769,34777,34785,34805,34847,34871,34936,35026,35031,37105,37109,37651,37663,37717,37721,37756,37850,37860,37911,38129,38141,42821,42969,43875,43881,44313,44400,44409,44516,47127,47158,47966,48252,48256,48275,48307,48310,48318,48328","165"
"Isotropic Reorientational Eigenmode Dynamics","ired","An analysis method to study molecular reorientational motions.","method|analysis","yes","10680,12038,12047,12096,12105,34591,34679,34797,34805,34814,34822,34885,34905,34934,34936,35755,35817,42738,42821,42822,44594,44603,44612,44632,49331,49380,50471,50475,50508,50640,50656,50702,50710,50712,50790,50798,50812,50814,50818,50826,50832,50833,50837,50841,50845,50853,50857,50861,50865,50869,50873,50877,50881","60"
"Isotropically Distributed Ensemble Analysis","idea","An analysis method for characterizing internal protein dynamics.","method|analysis","yes","10680,12009,12018,29530,29534,34595,34781,34785,34881,34959,38072,38076,38080,38084,38088,48179,49331,49380,52074","19"
"Connolly Surface","molsurf","An action to calculate the Connolly solvent-accessible or solvent-excluded surface area.","method|measure","yes","21718,21727,35237,35241,35246,35323,35332","7"
"Multiple Dihedral Calculation","multidihedral","An action to calculate multiple dihedral angles of specified types.","method|process","yes","21748,26713,26820,34858,35367,35378,35509,35530,52475,52489,55964","11"
"Multiple Ring Pucker Calculation","multipucker","An action to calculate ring pucker for multiple residues.","method|process","yes","35534,35538,35715,35736","4"
"Altona & Sundaralingam Pucker","altona","A method for describing the conformation of five-membered rings.","method|algorithm","yes","35542,35600,35851,36018,38190,38224,38279,38289,38336,38343,38362","14"
"Cremer & Pople Pucker","cremer","A method for describing the conformation of cyclic molecules.","method|algorithm","yes","12193,35542,35605,35732,35736,35851,36029,38190,38228,38291,38301,38336,38343","16"
"Multiple Vector Calculation","multivector","An action to calculate multiple vectors between specified atom pairs.","method|process","yes","21777,35746,35750,35817","4"
"Nucleic Acid Structure Analysis","nastruct","An action to calculate a comprehensive set of nucleic acid parameters.","method|analysis","yes","2052,21806,35821,35825,35830,36428,36505,36538,36606,36610,36697,36705","14"
"3DNA","3dna","A reference software package for nucleic acid structure analysis.","software|method","yes","35847,35855,35972,35973,36064,36334,36338,36473,36508","10"
"Base Pair Parameter","shear|stretch|stagger|buckle|prop|open","A parameter describing the geometry and orientation of a base pair.","measure|identifier","no","","0"
"Base Pair Step Parameter","shift|slide|rise|title|roll|twist","A parameter describing the geometry between two consecutive base pairs.","measure|identifier","no","","0"
"Helical Parameter","xdisp|ydisp|hrise|incl|tip|htwist","A parameter describing the global helical structure of a nucleic acid.","measure|identifier","no","","0"
"Native Contact Analysis","nativecontacts","An action to identify and track contacts present in a reference structure.","method|analysis","yes","20753,21835,25651,25657,36757,36760,36768,37323","8"
"In-Queue Trajectory Output","outtraj","An action to write a trajectory frame within the action queue.","method|process","yes","194,8006,8082,8273,8293,19159,21895,28621,37351,37362,37367,37431,37439,37452,37460,37486,42364,42385,42405,42429","20"
"Pair Distribution Function","pairdist","An action to calculate the pair distribution function for a selection.","method|measure","yes","21924,21933,37490,37494,37498,46529,47131,47147,47151,47165,47169,47177,47181,47915,47927,47972,47976,48189","18"
"Pairwise Energy Calculation","pairwise","An action to calculate pairwise non-bonded energies between atoms.","method|measure","yes","1070,3869,3896,3916,3943,5703,21953,30924,37519,37523,37726,37731,46463,46525,46685,47127,47135,47145,47158,47163,47175,47208,47209,47966,48252,48256,48328,48337,48341,48383,48403,48414","33"
"Principal Axis Calculation","principal","An action to calculate the principal axes of inertia.","method|analysis","yes","6008,6018,19265,21982,21991,37805,37809,37818,37822,37859,37887,37934,42750,42964,42968,43020,49327,51765,51774,51918,52086,52087,54876,55829","25"
"Trajectory Projection","projection","An action to project trajectory snapshots onto eigenvectors.","method|process","yes","22011,37938,37941,37949,38007,38020,38035,38044,38052,38060,38072,38148,51765,51774,52574,52589,52598,52608,52614,55847,55856,55941,55945,55996","24"
"Ring Pucker Calculation","pucker","An action to calculate the pucker conformation of a ring.","method|measure","yes","10661,10675,11183,11554,11583,11797,11806,11815,12188,12193,22040,22049,35538,35555,35564,35568,35577,35594,35601,35606,35638,35646,35654,35658,35664,35673,35677,35686,35701,35703,35705,35706,35723,35730,35731,36018,36022,36029,36032,36252,36533,36546,38172,38176,38181,38208,38241,38249,38257,38278,38313,38317,38330,38359,38361,38367,38371,54312,54350,54358,54364,54485,54489","67"
"Radius of Gyration","radgyr | rog","An action to calculate the radius of gyration for a selection.","method|measure","yes","22078,38375,38402,38414,38418,38422,38431,38435,38439,38444,38445","11"
"Radial Distribution Function","radial | rdf","An action to calculate the radial distribution function.","method|measure","yes","22107,38463,38631,38652","4"
"Ion Placement Randomization","randomizeions","An action to randomly swap the positions of ions and solvent.","method|process","yes","22127,38777,38781,38900","4"
"Atom Remapping","remap","An action to reorder atoms according to a provided mapping.","method|process","yes","22156,38927,38931,38993,41681,41731","6"
"Unit Cell Replication","replicatecell","An action to create a supercell by replicating the unit cell.","method|process","yes","1285,22185,38997,39001,39127","5"
"Per-Residue RMSD","perres","An option to calculate the no-fit RMSD for each residue individually.","measure|method","yes","215,2052,4212,20016,39176,39375,39379,39387,39465,39473,39475,39481,39492,39544,39551,39560,39570,45643,45648,45652","20"
"Coordinate Rotation","rotate","An action to rotate coordinates around a specified axis or by a matrix.","method|process","yes","6664,6726,8072,8078,8128,8222,8263,8277,9028,9040,9045,9064,16590,19268,22273,22282,37915,39226,39637,39641,39666,39674,39682,39690,39711,39724,39828,39834,39838,39842,39848,39853,39865,39878,39890,42986,53552,53807","38"
"Rotational Diffusion Analysis","rotdif","An analysis to determine rotational diffusion tensors from trajectory data.","analysis|method","yes","1289,39894,39901,39907,39934,39946,45124,53399,53402,53410,53485,53946,53970,53986,53998","15"
"Running Average of Coordinates","runavg | runningaverage","An action to replace the current frame with a running average.","method|process","yes","22312,39950","2"
"Velocity Assignment","setvelocity","An action to assign atomic velocities from a Maxwell-Boltzmann distribution.","method|process","yes","22390,40885,40889","3"
"Maxwell-Boltzmann Distribution","Maxwellian distribution","A probability distribution for the speeds of particles at a given temperature.","model","yes","22411,41064","2"
"SPAM (Spatial Properties of Activity by Mapping)","spam","An action to estimate relative free energies of hydration-shell waters.","method|algorithm","yes","1297,3614,22443,22452,41072,41076,41109,41158,41159,41176,41184,41193,41210,41214,41218,41222,41227,41241,43358","19"
"STFC Diffusion","stfcdiffusion","An alternative action for calculating translational diffusion.","measure|method","yes","1076,22473,41295,41299","4"
"LCPO Surface Area","surf","An action to calculate solvent accessible surface area using the LCPO algorithm.","measure|method","yes","1301,22532,22541,35353,41544,41555,41560,41653,41661,41665","12"
"LCPO (Linear Combination of Pairwise Overlaps)","LCPO","An algorithm for calculating solvent accessible surface area.","algorithm","yes","22541,41622","2"
"Symmetry-Corrected RMSD","symmrmsd","An action to calculate RMSD considering molecular symmetry.","measure|method","yes","20139,22562,22571,41669,41680,41835,41865,47036,47899,53019","10"
"System Temperature Calculation","temperature","An action to calculate the system temperature from atomic velocities.","measure|method","yes","18238,18248,18249,18269,18270,18271,18544,18668,18680,18692,18696,18814,18824,18825,19077,19585,19586,19626,19679,22423,22591,22600,23821,25872,25918,28979,29528,40893,40931,41065,41088,41172,41176,41878,41882,41911,41915,41928,41942,41947,41952,41970,41980,41989,50121,50161,50176","51"
"Frame Time Modification","time","An action to add, remove, or modify time information in frames.","method|process","yes","951,969,1001,1196,1343,1379,1503,2863,4186,5096,5108,5155,5252,5260,6259,12634,12675,12694,12695,12700,12701,12705,12710,12716,12717,15706,18813,19081,19669,19680,19700,19708,19709,19778,19829,19834,19835,19997,22620,22629,25644,25698,26175,26215,26219,26266,26574,26624,27520,27925,29175,29668,31716,31854,31862,31884,31984,31993,32002,32183,32279,32417,33014,36990,36999,37021,37047,37072,37113,37117,37121,37125,37168,37262,40004,40075,40212,40217,40222,40226,40230,40234,40238,40242,40812,40822,40914,41046,41299,41324,41330,41854,41993,41997,42010,42018,42022,42026,42031,42032","218"
"Toroidal Diffusion","tordiff","An action to calculate diffusion using a toroidal-view-preserving scheme.","measure|method","yes","1082,1305,22649,42044,42048,42253","6"
"Coordinate Translation","trans | translate","An action to translate specified atoms by a given vector.","method|process","yes","42257","1"
"Unstripping","unstrip","An action to reverse the effect of all previous 'strip' commands.","method|process","yes","22707,42341,42345,42350,42364,42393,42413","7"
"Coordinate Unwrapping","unwrap","An action to reverse periodic imaging to make trajectories continuous.","method|process","yes","1088,1309,22742,22757,24458,26395,26434,26461,26470,42200,42433,42444,42461,42466,42470,42474,42530,42538,42563,42633,42666,42678,42703,42707,45883,45892,45905,45909,45921","30"
"Vector Calculation","vector","An action to calculate various types of vector quantities.","method|process","yes","3634,3661,4915,5513,5607,5609,5610,5615,6029,6033,6038,6042,6083,10661,10763,12087,12105,19287,19295,22777,22786,23494,24489,24490,24491,24500,33269,33339,33351,34817,34827,34940,34946,35806,37854,37882,38141,39263,39272,39459,42723,42726,42734,42759,42763,42771,42775,42780,42813,42821,42851,42859,42867,42872,42882,42894,42911,42931,42951,42956,43037,43039,43048,43051,43059,44148,45323,45343,45372,45381,50534,50656,50665,50669,50673,50681,50685,50689,50693,50697,50710,50741,50742,50831,50841,50845,50853,50857,53426,53569,53584,53614,53676,53684,53777,53807,53809,53810,53888,53889","122"
"Velocity Autocorrelation Function","velocityautocorr","An action to calculate the velocity autocorrelation function.","measure|method","yes","1313,22806,22815,43088,43092,43199","6"
"Volumetric Map","volmap","An action to create a 3D density map of atomic positions.","method|process","yes","1317,3614,22835,22844,22883,41250,41268,43205,43216,43282,43488","12"
"Unit Cell Volume","volume","An action to calculate the volume of the periodic unit cell.","measure|method","yes","22906,22915,22975,29161,29756,29764,29991,30906,38485,38557,38754,38756,43544,43548,43570,43726","20"
"Crystal Symmetry Imaging","xtalsymm","An action to apply crystal space group symmetry operations.","method|process","yes","1094,22965,43680,43684","4"
"scale","scale","A process to scale the X, Y, or Z coordinates.","process|method","yes","14490,15267,15275,16828,16832,19520,19524,22361,22370,32946,37693,40009,40013,40017,40897,40935,40944,40952,40960,40968,41427,43281,53459,53753,54816,54822,54837,55382,55394,55403","31"
"secstruct","secstruct","A command to calculate secondary structure propensities using DSSP.","method|analysis","yes","1245,2968,20039,21067,27551,40021,40024,40032,40037,40811,40828,40856","12"
"DSSP","DSSP","A method for assigning secondary structure based on hydrogen bonds.","algorithm|method","yes","1245,21067,21076,27544,40273,40440,40799,40828,40836,40856,40860","12"
"Kabsch and Sander","Kabsch and Sander","The authors of the DSSP secondary structure assignment method.","data source","yes","40250,40273","2"
"ptrajformat","ptrajformat","An output format for secondary structure similar to ptraj software.","data format","yes","40046,40101,40193,40381,54908,55049","6"
"betadetail","betadetail","An option to report detailed parallel and anti-parallel beta structures.","method|state","yes","40050,40106,40255,40400,40422,40449","6"
"Parallel beta","Para","A secondary structure motif where beta strands run in parallel.","state|chemical entity","yes","40106,40216,40221,40254,40525,40563","8"
"Anti-parallel beta","Anti","A secondary structure motif where beta strands run in opposite directions.","state|chemical entity","yes","23527,40106,40108,40221,40253,40563","7"
"3-10 helix","3-10","A type of helical secondary structure with three residues per turn.","state|chemical entity","yes","40226,40601","3"
"Alpha helix","Alpha","A common secondary structure motif in proteins.","state|chemical entity","yes","8038,8795,8857,8869,8882,8940,10665,11371,11380,16269,16339,16343,18917,20661,24658,24712,25193,26654,33592,34039,35400,40144,40230,40639,53352,54333","27"
"Pi helix","Pi","A type of helical secondary structure with 4.4 residues per turn.","state|chemical entity","yes","4762,4768,4782,23610,23705,38709,40234,40677,48806,48821,55610","13"
"Turn","Turn","A secondary structure element that reverses the polypeptide chain direction.","state|chemical entity","yes","5834,10094,12244,23251,23995,27441,31793,33540,33999,34011,34242,34287,34288,39336,40238,40715,41795","18"
"Bend","Bend","A region of a protein with high curvature.","state|chemical entity","yes","40242,40753","3"
"Extended beta","E","A secondary structure of consecutive beta bridges of the same type.","state|chemical entity","yes","253,271,629,722,761,1008,1133,1601,1610,1623,1628,1637,1646,1655,1669,1687,1716,1727,1769,2030,2051,2060,2076,2188,2193,2586,2587,2885,4121,4161,4756,4760,4778,5274,5334,5337,5377,5379,5417,5438,5601,5623,5740,5894,7074,7075,7677,8438,8891,10274,10444,10681,11160,12609,12681,12771,12773,13126,13133,13139,13534,15109,15611,16036,16070,16165,16374,16585,16594,16803,18277,18405,18729,18975,19249,19268,19318,19378,19548,19840,20048,20123,20143,23032,23960,23972,23983,24260,24335,24620,24818,25094,25124,25679,25920,25991,25992,26005,26146,26562","219"
"beta Bridge","B","An isolated pair of residues in a beta-sheet conformation.","state|chemical entity","yes","1656,8857,8882,15619,16118,16269,16351,18901,18907,19291,19379,19383,19387,19482,19498,19510,19520,19565,19794,19800,23519,23614,23802,23821,24658,24724,31028,32718,32750,32752,34563,34571,35142,36913,37029,37300,37689,37799,40252,40253,40498,40536,40554,43799,48017,48809,49905,49913,49925,49929,49930,49936,50164,50171","58"
"gnuplot","gnuplot","A command-line driven graphing utility for data visualization.","software","yes","2966,2968,3211,5783,5788,5791,5792,5838,5854,5867,13588,13594,23529,40811,40832,40836,50218,50349,51385,53143,53154,55480,55533,55751","25"
"xmgrace","xmgrace","A 2D plotting tool for X Window System.","software","yes","184,2968,13640,13646,40844,40860,47376,47533,48161,50348","10"
"setvelocity","setvelocity","A command to set or modify atomic velocities in a frame.","process|method","yes","22390,40885,40889","3"
"Maxwellian distribution","Maxwellian distribution","A probability distribution for the speeds of particles in a gas.","model|algorithm","yes","22411,41064","2"
"SHAKE","SHAKE","A constraint algorithm used to fix bond lengths in simulations.","algorithm|method","yes","7265,7269,41036,41037,41046,41054,41065,41923,41958,41964,41974,41984,53952","15"
"zeromomentum","zeromomentum","A process to ensure the total momentum of selected atoms is zero.","process|method","yes","40918,41016,41058","3"
"SPAM","spam","A method for profiling bound water molecules and their thermodynamics.","method|analysis","yes","1297,3614,22443,22452,41072,41076,41109,41158,41159,41176,41184,41193,41210,41214,41218,41222,41227,41241,43358","19"
"kcal/mol","kcal/mol","A unit of energy commonly used in molecular simulations.","unit","yes","1452,1532,14927,15211,30574,33177,33181,37613,37622,37709,37713,37727,41184,41185,41193,41194","16"
"stfcdiffusion","stfcdiffusion","A command to calculate diffusion using a specific routine from STFC.","method|analysis","yes","1076,22473,41295,41299","4"
"Mean Square Displacement","MSD","A measure of the average distance a particle travels.","measure","yes","7054,7338,7449,26201,26210,26237,26250,26275,26279,26283,26287,26337,26345,26353,26361,26374,26481,26482,26483,26498,26506,26514,26522,26546,26561,26562,26568,26574,41325,41361,41373,42099,42103,42107,42111,42253,45709,45717,45725,45734,45738,45742,45746,45793,45810","45"
"strip","strip","A command to remove specified atoms from the system and topology.","process","yes","223,2030,2043,8510,16391,16436,16444,16466,16479,19328,20026,20091,20115,22503,22719,25398,25785,25792,29535,30465,30485,30489,32983,41384,41388,41393,41462,41493,41502,41507,41511,41519,41536,42362,42364,42381,42401,42421,42425,53350,53357","41"
"surf","surf","A command to calculate the surface area of atoms.","method|analysis","yes","1301,22532,35353,41544,41555,41560,41653,41661,41665","11"
"LCPO algorithm","LCPO algorithm","An algorithm for calculating solvent accessible surface area.","algorithm|method","yes","41622","1"
"Å²","Å²","A unit of area, Angstroms squared.","unit","no","","0"
"symmrmsd","symmrmsd","A command for symmetry-corrected Root Mean Square Deviation calculation.","method|analysis|measure","yes","20139,22562,41669,41680,41865","5"
"temperature","temperature","A command to calculate temperature from velocity information.","measure|analysis","yes","18238,18248,18249,18269,18270,18271,18544,18668,18680,18692,18696,18814,18824,18825,19077,19585,19586,19626,19679,22423,22591,22600,23821,25872,25918,28979,29528,40893,40931,41065,41088,41172,41176,41878,41882,41911,41915,41928,41942,41947,41952,41970,41980,41989,50121,50161,50176","51"
"degrees of freedom","degrees of freedom","The number of independent ways a system can move.","measure|model","yes","41937,41957,41960","3"
"time","time","A command to add or modify time information for frames.","process","yes","951,969,1001,1196,1343,1379,1503,2863,4186,5096,5108,5155,5252,5260,6259,12634,12675,12694,12695,12700,12701,12705,12710,12716,12717,15706,18813,19081,19669,19680,19700,19708,19709,19778,19829,19834,19835,19997,22620,22629,25644,25698,26175,26215,26219,26266,26574,26624,27520,27925,29175,29668,31716,31854,31862,31884,31984,31993,32002,32183,32279,32417,33014,36990,36999,37021,37047,37072,37113,37117,37121,37125,37168,37262,40004,40075,40212,40217,40222,40226,40230,40234,40238,40242,40812,40822,40914,41046,41299,41324,41330,41854,41993,41997,42010,42018,42022,42026,42031,42032","218"
"picosecond","ps","A unit of time equal to 10⁻¹² seconds.","unit","yes","1379,1512,19778,26219,26502,26510,26518,26526,26530,26579,27929,41331,42010,42018,42091,42162,43153,45705,50582,50594,55383","21"
"tordiff","tordiff","A command to calculate diffusion using a toroidal-view-preserving scheme.","method|analysis","yes","1082,1305,22649,42044,42048,42253","6"
"toroidal-view-preserving scheme","TOR","An algorithm for correcting box fluctuations in diffusion calculations.","algorithm|method","yes","22658,42162,42214,42240,42253,42456,42538,42544,42633,42646","12"
"1x10⁻⁵ cm²/s","1x10⁻⁵ cm²/s","A common unit for reporting diffusion coefficients.","unit","no","","0"
"translate","translate","A command to translate atoms by a specified vector.","process","yes","22678,22687,39226,39438,42257,42261,42266,42298,42305,42315,42336","11"
"unstrip","unstrip","A command to undo a 'strip' operation, restoring original topology.","process","yes","22707,42341,42345,42350,42364,42393,42413","7"
"unwrap","unwrap","A command to make molecular trajectories continuous across periodic boundaries.","process|method","yes","1088,1309,22742,22757,24458,26395,26434,26461,26470,42200,42433,42444,42461,42466,42470,42474,42530,42538,42563,42633,42666,42678,42703,42707,45883,45892,45905,45909,45921","30"
"periodic boundary conditions","periodic boundary conditions","A method to simulate a large system by replicating a unit cell.","model|method","yes","28811,30542,32598,33195,41965,41974,41984,42551","8"
"image","image","A process of wrapping coordinates into the central unit cell.","process|method","yes","20427,21359,21368,22754,22974,24080,24108,24113,24147,24151,24163,24976,27235,29963,29997,30322,30337,30542,31574,31675,31793,32047,32458,32462,32467,32485,32490,32508,32509,32514,32518,32522,32526,32565,32571,32582,32591,32604,33195,33218,35091,35210,35223,36834,38536,38825,42577,42674,43628,43736,55669","54"
"vector","vector","A command to define and track vector quantities over a trajectory.","analysis|measure","yes","3634,3661,4915,5513,5607,5609,5610,5615,6029,6033,6038,6042,6083,10661,10763,12087,12105,19287,19295,22777,22786,23494,24489,24490,24491,24500,33269,33339,33351,34817,34827,34940,34946,35806,37854,37882,38141,39263,39272,39459,42723,42726,42734,42759,42763,42771,42775,42780,42813,42821,42851,42859,42867,42872,42882,42894,42911,42931,42951,42956,43037,43039,43048,43051,43059,44148,45323,45343,45372,45381,50534,50656,50665,50669,50673,50681,50685,50689,50693,50697,50710,50741,50742,50831,50841,50845,50853,50857,53426,53569,53584,53614,53676,53684,53777,53807,53809,53810,53888,53889","122"
"dipole","dipole","A vector representing the separation of positive and negative charges.","measure|chemical entity","yes","20979,26858,26862,29370,29378,29382,29386,30103,30115,30127,30137,30139,30237,30261,30263,30271,30279,30287,42742,42849,42851,42906,42911,51558,51601,52015","30"
"Debye","Debye","A unit of electric dipole moment.","unit","yes","30103,30115,30127,30139,30263,30271,30279,30287,42738,42847,42851,42913,42915","13"
"principal axis","principal","An axis of inertia determined from the inertial matrix.","measure|model","yes","6008,6018,19265,21982,21991,37805,37809,37818,37822,37859,37887,37934,42750,42964,42968,43020,49327,51765,51774,51918,52086,52087,54876,55829","25"
"IRED","ired","Isotropic Reorientational Eigenmode Dynamics analysis.","method|analysis","yes","10680,12038,12047,12096,12105,34591,34679,34797,34814,34822,34885,34905,34934,34936,35755,35817,42738,42821,42822,44594,44612,44632,49331,49380,50471,50475,50508,50640,50656,50702,50710,50712,50790,50798,50812,50814,50818,50826,50832,50833,50837,50841,50845,50853,50857,50861,50865,50869,50873,50877,50881","58"
"velocityautocorr","velocityautocorr","A command to calculate the velocity autocorrelation function.","method|analysis","yes","1313,22806,43088,43092","4"
"Velocity Autocorrelation Function","VAC","A function describing the correlation of a particle's velocity over time.","measure|analysis","yes","22815,43114,43128,43144,43157,43162,43170,43193,43199,43201","10"
"self-diffusion coefficient","D","A measure of the translational mobility of particles.","measure","yes","411,505,1656,1819,2600,8796,8861,8869,12710,20661,25188,25198,25212,25220,26295,26537,29729,31038,32040,32041,32042,32718,32750,32752,36680,42119,43170,45754,46185,46205,46274,46347,46355,46359,49348,51224,53439,53451,53623,53712,53781,53782,53784,53932,55560","48"
"volmap","volmap","A command to generate a 3D volumetric map of atomic density.","method|analysis","yes","1317,3614,22835,22883,41250,41268,43205,43216,43282,43488","10"
"Gaussian function","Gaussian","A function used to represent atomic density in volmap.","model|algorithm","yes","12941,43292,43301,43489,45256,46953,48964,51005,54547,54706,54719","11"
"van der Waals radius","vdw","A measure of the effective size of an atom.","measure|model","yes","7225,7243,7261,19345,19387,24671,24770,27725,27760,27885,28160,35255,35300,35317,35338,37532,37647,37651,43220,43309,43490","22"
"VMD","VMD","Visual Molecular Dynamics, a molecular visualization program.","software","yes","16586,18935,22880,29707,43282,43488","6"
"cubic spline interpolation","splinedx","A method for interpolating data points smoothly.","algorithm|method","yes","43220,43314,43318,53870","4"
"volume","volume","A command to calculate the unit cell volume.","measure|analysis","yes","22906,22915,22975,29161,29756,29764,29991,30906,38485,38557,38754,38756,43544,43548,43570,43726","17"
"watershell","watershell","A command to count solvent molecules within specified distances of a solute.","method|analysis","yes","1321,1358,22935,43574,43578","5"
"solvation shell","solvation shell","Layers of solvent molecules surrounding a solute.","model|chemical entity","no","","0"
"xtalsymm","xtalsymm","A command to handle crystal symmetry operations for superimposing subunits.","method|process","yes","1094,22965,43680,43684","4"
