[Term],[Variable],[Description],[Category1|Category2|...]
"Bounds Checking","CHECK_BOUNDS","A process in paramfit to ensure fitted parameters are physically reasonable.","process|method"
"mdgx","mdgx","A program for molecular dynamics algorithm development and parameter fitting.","software"
"IPolQ","IPolQ","Implicitly Polarized Charge model for deriving partial charges.","model|method"
"&fitq","&fitq","The mdgx namelist for controlling electrostatic potential fitting.","identifier"
"RespPhi","RespPhi","mdgx keyword to specify an electrostatic potential file for RESP fitting.","identifier"
"IPolQPhi","IPolQPhi","mdgx keyword to specify electrostatic potential files for IPolQ fitting.","identifier"
"Virtual Site","ExtraPoint","A massless point whose position is defined by massive atoms.","model"
"&ipolq","&ipolq","The mdgx namelist for controlling IPolQ charge development.","identifier"
"Solvent Reaction Field Potential","SRFP","The electrostatic potential generated by the time-averaged solvent charge density.","measure|model"
"&rule","&rule","The mdgx namelist for defining virtual site construction rules.","identifier"
"Frame Style","FrameStyle","A specific geometric method for constructing a virtual site.","model|identifier"
"&param","&param","The mdgx namelist for controlling bonded parameter fitting.","identifier"
"&configs","&configs","The mdgx namelist for controlling configuration sampling.","identifier"
"RATTLE","RATTLE","An algorithm for constraining bonds in velocity-Verlet integration.","algorithm"
"I/r-RESPA","I/r-RESPA","A multiple time-stepping integration scheme.","algorithm|method"
"&pptd","&pptd","The mdgx namelist for controlling the peptide multi-simulator on GPUs.","identifier"
"MCPB.py","MCPB.py","A Python tool for building parameters for metal centers.","software"
"Seminario method","Seminario method","A method to derive force constants from a Cartesian Hessian matrix.","method|algorithm"
"Z-matrix method","Z-matrix method","A method to generate force field parameters using a Z-matrix and Hessian.","method|algorithm"
"Bonded model (metal)","bonded model","A model treating metal ions as covalently bonded to their ligands.","model"
"Nonbonded model (metal)","nonbonded model","A model treating metal ions purely with non-bonded interactions.","model"
"IPMach.py","IPMach.py","A Python tool for automated ion parameterization.","software"
"PdbSearcher.py","PdbSearcher.py","A Python tool to search for metal centers in PDB files.","software"
"OptC4.py","OptC4.py","A program to optimize C4 terms for the 12-6-4 potential.","software"
"CartHess2FC.py","CartHess2FC.py","A program to calculate force constants from a Cartesian Hessian matrix.","software"
"espgen.py","espgen.py","A Python version of the espgen program for ESP extraction.","software"
"ProScrs.py","ProScrs.py","A program called 'Protein Scissors' for cutting and capping protein segments.","software"
"car_to_files.py","car_to_files.py","A program to convert .car files to mol2 and PDB formats.","software"
"amb2chm_psf_crd.py","amb2chm_psf_crd.py","A script to convert Amber prmtop/inpcrd to CHARMM psf/crd.","software"
"amb2chm_par.py","amb2chm_par.py","A script to convert Amber dat/frcmod to a CHARMM parameter file.","software"
"mol2rtf.py","mol2rtf.py","A program to generate a CHARMM RTF file from a mol2 file.","software"
"amb2gro_top_gro.py","amb2gro_top_gro.py","A script to convert Amber prmtop/inpcrd to GROMACS top/gro.","software"
"metalpdb2mol2.py","metalpdb2mol2.py","A program to convert PDB files of metal ions into mol2 format.","software"
"ion_paraset","ion_paraset","MCPB.py variable for the ion parameter set in the nonbonded model.","identifier"
"Hydration Free Energy","HFE","The free energy change when an ion is transferred from vacuum to water.","measure"
"Ion-Oxygen Distance","IOD","The average distance between an ion and oxygen atoms in its first solvation shell.","measure"
"12-6-4 LJ-type model","12-6-4 LJ-type model","A nonbonded model including an ion-induced dipole (C4) term.","model"
"Empirical method (MCPB.py)","Empirical method","A method in MCPB.py to generate parameters without QM calculations.","method|model"
"fluctuating charge model","fluctuating charge model","A charge model where atomic charges can vary in response to the environment.","model|method"
"powell","powell","An optimization method available in SciPy, used by OptC4.py.","algorithm|method"
"cg","cg","Conjugate Gradient, an optimization method used by OptC4.py.","algorithm|method"
"bfgs","bfgs","Broyden–Fletcher–Goldfarb–Shanno algorithm, an optimization method used by OptC4.py.","algorithm|method"
"slsqp","slsqp","Sequential Least Squares Programming, an optimization method used by OptC4.py.","algorithm|method"
"CartHess2FC.py","CartHess2FC.py","A program to calculate force constants from a Cartesian Hessian matrix.","software|process"
"Urey-Bradley term","Urey-Bradley","A 1-3 harmonic interaction term in some force fields.","model"
"harmonic improper torsion","harmonic improper torsion","A potential term to maintain planarity using a harmonic function.","model"
"espgen.py","espgen.py","A Python program to extract electrostatic potential from QM output.","software|process"
"ProScrs.py","ProScrs.py","A 'Protein Scissors' program for cutting and capping protein segments.","software|process"
"ACE (acetyl cap)","ACE","An N-terminal capping group (CH3CO) for protein fragments.","chemical entity"
"NME (N-methylamide cap)","NME","A C-terminal capping group (CH3NH) for protein fragments.","chemical entity"
"car_to_files.py","car_to_files.py","A program to generate mol2 and PDB files from a .car file.","software"
"mol2rtf.py","mol2rtf.py","A program to generate a CHARMM RTF file from a mol2 file.","software"
"metalpdb2mol2.py","metalpdb2mol2.py","A program to convert a PDB file of a metal ion to a mol2 file.","software"
"py_resp.py","py_resp.py","A Python program for electrostatic potential (ESP) fitting.","software"
"RESP-ind","RESP-ind","A RESP model that includes atomic induced dipoles.","model|method"
"RESP-perm","RESP-perm","A RESP model that includes permanent atomic dipoles.","model|method"
"polarizable Gaussian Multipole (pGM) force field","pGM","A polarizable force field using distributed multipoles.","model"
"pyresp_gen.py","pyresp_gen.py","A program to automatically generate input files for py_resp.py.","software"
"damping function","damping function","A function used to moderate electrostatic interactions at short distances.","model|method"
"Applequist scheme","Applequist","A method for calculating induced dipoles without damping.","model|method"
"Tinker-exponential damping","Tinker-exponential","A specific functional form for damping electrostatic interactions.","model|method"
"pype-resp.py","pype-resp.py","A pipeline to facilitate and standardize the derivation of RESP charges.","software|process"
"RDKit","RDKit","An open-source cheminformatics software toolkit.","software|library"
"InChi-Code","InChi-Code","IUPAC International Chemical Identifier, a standard for representing molecules.","identifier"
"SMARTS","SMARTS","A language for specifying molecular substructures.","identifier|model"
"mol3 file","mol3","A file format similar to mol2 but containing additional connectivity records.","data format"
"UnitCell","UnitCell","A program to reconstruct a complete crystal unit cell from a PDB file.","software"
"asymmetric unit","asymmetric unit","The smallest part of a crystal structure from which the whole is generated by symmetry.","chemical entity|model"
"space group","space group","The set of symmetry operations that describes a crystal structure.","model|identifier"
"PropPDB","PropPDB","A program to propagate a crystal unit cell to create a supercell.","software"
"AddToBox","AddToBox","A program to place solvent molecules into a crystal unit cell.","software"
"ChBox","ChBox","A program to modify the box information in an Amber coordinate file.","software"
"sander","sander","An Amber module for energy minimization and molecular dynamics.","software"
"mdin","mdin","The primary input file for sander, containing control parameters.","data format"
"mdout","mdout","The primary human-readable output file from a sander run.","data format"
"mdinfo","mdinfo","An output file containing the most recent energy information from sander.","data format"
"refc","refc","An input file containing reference coordinates for restraints.","data format"
"mdcrd","mdcrd","An output file containing coordinate trajectory frames.","data format"
"inptraj","inptraj","An input trajectory file for post-processing with sander.","data format"
"mdvel","mdvel","An output file containing velocity trajectory frames.","data format"
"mdfrc","mdfrc","An output file containing force trajectory frames.","data format"
"mden","mden","An output file containing detailed energy data over a trajectory.","data format"
"restrt","restrt","An output file containing final coordinates and velocities for restarting a simulation.","data format"
"cpin","cpin","An input file defining protonation states for constant pH simulations.","data format"
"cpout","cpout","An output file containing protonation state data over a trajectory.","data format"
"evbin","evbin","An input file for Empirical Valence Bond (EVB) potentials.","data format"
"imin","imin","sander variable to control minimization or dynamics mode.","identifier"
"nmropt","nmropt","sander variable to enable NMR restraint options.","identifier"
"ntx","ntx","sander variable controlling how initial coordinates and velocities are read.","identifier"
"irest","irest","sander flag to indicate a simulation restart.","identifier"
"ntxo","ntxo","sander variable controlling the format of the output restart file.","identifier"
"ntpr","ntpr","sander variable for the frequency of printing energy information to mdout.","identifier"
"ntave","ntave","sander variable for the frequency of printing running energy averages.","identifier"
"ntwr","ntwr","sander variable for the frequency of writing the restart file.","identifier"
"iwrap","iwrap","sander flag to wrap coordinates into the primary periodic box.","identifier"
"ntwx","ntwx","sander variable for the frequency of writing coordinates to the trajectory.","identifier"
"ntwv","ntwv","sander variable for the frequency of writing velocities to the trajectory.","identifier"
"ntwf","ntwf","sander variable for the frequency of writing forces to the trajectory.","identifier"
"ntwe","ntwe","sander variable for the frequency of writing energies to the mden file.","identifier"
"ioutfm","ioutfm","sander variable controlling the format (ASCII/NetCDF) of trajectory files.","identifier"
"ntwprt","ntwprt","sander variable specifying the number of atoms to write to trajectories.","identifier"
"idecomp","idecomp","sander flag to perform per-residue or pairwise energy decomposition.","identifier"
"ibelly","ibelly","sander flag for 'belly' dynamics where only a subset of atoms move.","identifier"
"ntr","ntr","sander flag to apply Cartesian restraints to specified atoms.","identifier"
"restraint_wt","restraint_wt","The force constant for Cartesian restraints.","measure"
"restraintmask","restraintmask","An Amber mask string specifying atoms to be restrained.","identifier"
"bellymask","bellymask","An Amber mask string specifying atoms to be moved in a belly simulation.","identifier"
"maxcyc","maxcyc","The maximum number of minimization cycles to perform.","identifier"
"ncyc","ncyc","The number of steepest descent steps before switching to conjugate gradient.","identifier"
"ntmin","ntmin","sander flag specifying the minimization algorithm (steepest descent, conjugate gradient, etc.).","identifier"
"dx0","dx0","The initial step length for energy minimization.","measure"
"drms","drms","The convergence criterion for minimization based on the RMS gradient.","measure"
"nstlim","nstlim","The total number of molecular dynamics steps to perform.","identifier"
"nscm","nscm","The frequency for removing center-of-mass motion.","identifier"
"dt","dt","The time step for molecular dynamics integration in picoseconds.","measure|unit"
"Hydrogen Mass Repartitioning","HMR","A method to increase hydrogen mass to allow for larger timesteps.","method"
"nrespa","nrespa","sander variable to enable multiple time-step integration (RESPA).","identifier"
"ntt","ntt","sander flag to select the thermostat for temperature regulation.","identifier"
"Berendsen thermostat","Berendsen thermostat","A weak-coupling method for temperature control.","algorithm|method"
"Andersen thermostat","Andersen thermostat","A temperature control method using stochastic collisions.","algorithm|method"
"Langevin dynamics","Langevin dynamics","A stochastic dynamics method that models solvent effects with friction and random forces.","algorithm|method"
"Nose-Hoover chain","Nose-Hoover chain","A deterministic method for canonical ensemble (NVT) simulations.","algorithm|method"
"Bussi thermostat","Bussi thermostat","A stochastic velocity rescaling thermostat that generates a canonical distribution.","algorithm|method"
"temp0","temp0","The target temperature for the simulation in Kelvin.","measure|unit"
"tempi","tempi","The initial temperature for velocity assignment in Kelvin.","measure|unit"
"ig","ig","The seed for the pseudo-random number generator.","identifier"
"tautp","tautp","The time constant for the Berendsen thermostat in picoseconds.","measure|unit"
"gamma_ln","gamma_ln","The collision frequency for Langevin dynamics in ps^-1.","measure|unit"
"vlimit","vlimit","A velocity limit to prevent simulation instabilities.","measure"
"ntp","ntp","sander flag to select the barostat for pressure regulation.","identifier"
"isotropic position scaling","isotropic position scaling","A pressure coupling method where the box scales uniformly in all directions.","method"
"anisotropic position scaling","anisotropic position scaling","A pressure coupling method where box dimensions scale independently.","method"
"Berendsen barostat","Berendsen barostat","A weak-coupling method for pressure control.","algorithm|method"
"Monte Carlo barostat","Monte Carlo barostat","A pressure control method using Monte Carlo volume moves.","algorithm|method"
"pres0","pres0","The target pressure for the simulation in bars.","measure|unit"
"comp","comp","The compressibility of the system, used by the Berendsen barostat.","measure"
"powell","powell","An optimization method available in SciPy for parameter fitting.","algorithm|method"
"cg","cg","Conjugate Gradient, an optimization method for parameter fitting.","algorithm|method"
"bfgs","bfgs","Broyden–Fletcher–Goldfarb–Shanno algorithm for parameter optimization.","algorithm|method"
"slsqp","slsqp","Sequential Least Squares Programming optimization algorithm.","algorithm|method"
"CartHess2FC.py","CartHess2FC.py","A program to calculate force constants from a Cartesian Hessian matrix.","software|process"
"Seminario method","sem","A method to derive force constants from a Cartesian Hessian matrix.","method|algorithm"
"modified Seminario method","msem","A modified version of the Seminario method for force constants.","method|algorithm"
"Z-matrix method","zmx","A method to generate force field parameters using a Z-matrix.","method|algorithm"
"Urey-Bradley term","Urey-Bradley","A 1-3 harmonic interaction term in some force fields.","model"
"harmonic improper torsion","harmonic improper torsion","A potential term to maintain planarity using a harmonic function.","model"
"espgen.py","espgen.py","A Python program to extract electrostatic potential from QM output.","software|process"
"ProScrs.py","ProScrs.py","A 'Protein Scissors' program for cutting and capping protein segments.","software|process"
"ACE (acetyl cap)","ace","An N-terminal capping group (CH3CO) for protein fragments.","chemical entity|identifier"
"NME (N-methylamide cap)","nme","A C-terminal capping group (CH3NH) for protein fragments.","chemical entity|identifier"
"car_to_files.py","car_to_files.py","A program to generate mol2 and PDB files from a .car file.","software"
"mol2rtf.py","mol2rtf.py","A program to generate a CHARMM RTF file from a mol2 file.","software"
"metalpdb2mol2.py","metalpdb2mol2.py","A program to convert a PDB file of a metal ion to a mol2 file.","software"
"py_resp.py","py_resp.py","A Python program for electrostatic potential (ESP) fitting.","software"
"RESP (Restrained ElectroStatic Potential)","RESP","An algorithm for fitting atomic charges to quantum mechanical ESP.","algorithm|method"
"pGM (polarizable Gaussian Multipole)","pGM","A polarizable force field using distributed Gaussian multipoles.","model"
"RESP-ind","RESP-ind","A RESP model that includes atomic induced dipoles.","model|method"
"RESP-perm","RESP-perm","A RESP model that includes permanent atomic dipoles.","model|method"
"RESP-perm-v","RESP-perm-v","A RESP-perm model that includes virtual permanent dipoles.","model|method"
"pyresp_gen.py","pyresp_gen.py","A program to automatically generate input files for py_resp.py.","software"
"damping function","damping function","A function used to moderate electrostatic interactions at short distances.","model|method"
"pype-resp.py","pype-resp.py","A pipeline to facilitate and standardize the derivation of RESP charges.","software|process"
"RDKit","RDKit","An open-source cheminformatics software toolkit used by pype-resp.py.","software|library"
"InChI-Code","InChi-Code","IUPAC International Chemical Identifier, a standard for representing molecules.","identifier"
"SMARTS","SMARTS","A language for specifying molecular substructures for atom selection.","identifier|model"
"mol3 file","mol3","A file format similar to mol2 containing additional connectivity records.","data format"
"UnitCell","UnitCell","A program to reconstruct a complete crystal unit cell from a PDB file.","software"
"asymmetric unit","asymmetric unit","The smallest part of a crystal structure generated by symmetry operations.","chemical entity|model"
"space group","space group","The set of symmetry operations that describes a crystal structure.","model|identifier"
"PropPDB","PropPDB","A program to propagate a crystal unit cell to create a supercell.","software"
"AddToBox","AddToBox","A program to place solvent molecules into a crystal unit cell.","software"
"ChBox","ChBox","A program to modify the box information in an Amber coordinate file.","software"
"sander","sander","An Amber module for energy minimization and molecular dynamics.","software"
"mdin","mdin","The primary input file for sander, containing control parameters.","data format"
"mdout","mdout","The primary human-readable output file from a sander run.","data format"
"restrt","restrt","An output file containing final coordinates and velocities for restarting a simulation.","data format"
"inpcrd","inpcrd","Amber input coordinate file, often used with prmtop files.","data format"
"prmtop","prmtop","Amber parameter-topology file containing system-specific force field information.","data format"
"imin","imin","sander variable to control minimization or dynamics mode.","identifier"
"ntx","ntx","sander variable controlling how initial coordinates and velocities are read.","identifier"
"irest","irest","sander flag to indicate a simulation restart.","identifier"
"ntpr","ntpr","sander variable for the frequency of printing energy information to mdout.","identifier"
"ntwr","ntwr","sander variable for the frequency of writing the restart file.","identifier"
"ntwx","ntwx","sander variable for the frequency of writing coordinates to the trajectory.","identifier"
"ntc","ntc","sander flag to select the SHAKE algorithm for bond constraints.","identifier"
"SHAKE","SHAKE","An algorithm to constrain bond lengths, allowing larger time steps.","algorithm|method"
"middle scheme","middle scheme","A unified framework for developing efficient thermostatting algorithms.","method|algorithm"
"LFMiddle","LFMiddle","The leapfrog algorithm implementation within the 'middle' scheme.","algorithm|method"
"RATTLE","RATTLE","An algorithm for constraining bond velocities in dynamics simulations.","algorithm|method"
"SETTLE","SETTLE","An analytical algorithm for constraining rigid water molecules.","algorithm|method"
"ischeme","ischeme","sander flag for choosing the integration scheme (e.g., middle scheme).","identifier"
"ithermostat","ithermostat","sander flag for choosing the thermostat in the 'middle' scheme.","identifier"
"therm_par","therm_par","The primary parameter (e.g., friction) for a 'middle' scheme thermostat.","measure"
"Path Integral Molecular Dynamics","PIMD","A simulation method to include nuclear quantum effects.","method|process"
"Replica Exchange Molecular Dynamics","REMD","An enhanced sampling method using multiple parallel simulations (replicas).","method|process"
"multisander","multisander","A feature of sander.MPI to run multiple independent simulations simultaneously.","software|process"
"APBS","APBS","Adaptive Poisson-Boltzmann Solver, a program for continuum electrostatics.","software"
"sander API","sander API","An application programmer interface for the sander program.","software|library"
"sander_input","sander_input","A data structure in the sander API for providing input parameters.","data format|software"
"taup","taup","Pressure relaxation time constant for the Berendsen barostat.","measure|unit"
"constant surface tension","constant surface tension","A simulation condition used for systems with interfaces, like membranes.","state|process"
"csurften","csurften","sander flag to enable constant surface tension dynamics.","identifier"
"gamma_ten","gamma_ten","The target surface tension value in dyne/cm.","measure|unit"
"ninterface","ninterface","The number of interfaces in the system for surface tension calculations.","measure"
"tol","tol","The geometric tolerance for the SHAKE algorithm.","measure"
"noshakemask","noshakemask","An Amber mask to specify atoms excluded from SHAKE constraints.","identifier"
"Ornstein-Uhlenbeck process","Ornstein-Uhlenbeck process","The stochastic process underlying Langevin dynamics.","model|method"
"VVMiddle","VVMiddle","The velocity-Verlet algorithm implementation within the 'middle' scheme.","algorithm|method"
"water cap","water cap","A spherical portion of explicit water centered on a solute.","model"
"ivcap","ivcap","sander flag to control the water cap option.","identifier"
"fcap","fcap","The force constant for the water cap restraint potential.","measure"
"EMAP restraints","EMAP restraints","Restraints based on maps (e.g., from electron microscopy) for targeted search.","method|model"
"iemap","iemap","sander flag to enable EMAP restrained simulations.","identifier"
"ntf","ntf","sander flag controlling which bonded force terms are evaluated.","identifier"
"ntb","ntb","sander flag controlling the use of periodic boundary conditions.","identifier"
"cut","cut","The cutoff distance for nonbonded interactions in Angstroms.","measure|unit"
"fswitch","fswitch","sander flag to enable force switching for nonbonded interactions.","identifier"
"nsnb","nsnb","The frequency for updating the nonbonded pair list.","measure"
"ipol","ipol","sander flag to enable a polarizable force field.","identifier"
"ipgm","ipgm","sander flag to enable the polarizable Gaussian Multipole (pGM) force field.","identifier"
"ifqnt","ifqnt","sander flag to enable a QM/MM calculation.","identifier"
"igb","igb","sander flag to enable a Generalized Born implicit solvent model.","identifier"
"ipb","ipb","sander flag to enable a Poisson-Boltzmann implicit solvent model.","identifier"
"irism","irism","sander flag to enable the 3D-RISM molecular solvation method.","identifier"
"ievb","ievb","sander flag to enable the Empirical Valence Bond (EVB) method.","identifier"
"iamoeba","iamoeba","sander flag to enable the AMOEBA polarizable potential.","identifier"
"lj1264","lj1264","sander flag to enable the 12-6-4 Lennard-Jones potential.","identifier"
"efx","efx","The x-component of an applied external electric field.","measure"
"mcwat","mcwat","sander flag to enable Monte Carlo water equilibrium sampling.","identifier"
"ntwd","ntwd","sander flag to enable Thermodynamic Integration (TI) Free Energy Decomposition.","identifier"
"ramdboost","ramdboost","The acceleration boost strength for Random Acceleration Molecular Dynamics (RAMD).","measure"
"reweight","reweight","sander flag to re-evaluate energies/forces on an existing trajectory.","identifier"
"midpoint","midpoint","sander flag to enable midpoint optimizations (3D spatial decomposition).","identifier"
"Particle Mesh Ewald","PME","A fast algorithm for calculating long-range electrostatic interactions.","algorithm|method"
"&ewald","&ewald","The namelist in sander for controlling PME and related parameters.","identifier"
"nfft1","nfft1","The size of the PME charge grid in the x-dimension.","measure"
"order","order","The order of the B-spline interpolation used in PME.","measure"
"skinnb","skinnb","The width of the buffer region for the nonbonded pair list.","measure"
"Isotropic Periodic Sum","IPS","A method for calculating long-range interactions using isotropic periodic images.","algorithm|method"
"ips","ips","sander flag to enable the Isotropic Periodic Sum (IPS) method.","identifier"
"extra-points","extra-points","Non-atomic force centers, such as lone pairs, in a force field.","model"
"frameon","frameon","sander flag controlling the treatment of extra points.","identifier"
"indmeth","indmeth","sander flag specifying the method for calculating induced dipoles.","identifier"
"Car-Parrinello scheme","Car-Parrinello scheme","A method where induced dipoles are treated as dynamic variables with mass.","algorithm|method"
"&dipoles","&dipoles","The namelist in sander for enabling the printing of dipole moments.","identifier"
"profile_mpi","profile_mpi","sander flag to control detailed timing output for parallel runs.","identifier"
"&pol_gauss","&pol_gauss","The namelist in sander for controlling the pGM force field.","identifier"
"ee_dsum_cut","ee_dsum_cut","The direct sum cutoff for pGM electrostatic calculations.","measure"
"dipole_scf_tol","dipole_scf_tol","The convergence criterion for the induced dipole self-consistent field calculation.","measure"
"&wt","&wt","The namelist in sander for specifying time-dependent changes to simulation parameters.","identifier"
"time-averaged restraints","time-averaged restraints","Restraints applied to the time-averaged value of a coordinate.","method|model"
"&debugf","&debugf","The namelist in sander for accessing debugging options.","identifier"
"multisander","multisander","A feature of sander.MPI to run multiple independent simulations.","software|process"
"multipmemd","multipmemd","A feature of pmemd.MPI to run multiple independent simulations.","software|process"
"groupfile","groupfile","An input file for multisander specifying the command line for each replica.","data format"
"sander.APBS","sander.APBS","A version of sander compiled with the APBS Poisson-Boltzmann solver.","software"
"PQR file","PQR","A file format similar to PDB but with charge (Q) and radius (R) columns.","data format"
"pysander","pysander","A shorthand term for using the sander API within a Python script.","software|library"
"Internal Dielectric Constant","intdiel","Dielectric constant of the solute interior.","model|measure"
"Maximum GB Radius","rgbmax","Maximum Generalized Born radius for an atom.","measure|model"
"Salt Concentration","saltcon","Molar salt concentration for implicit solvent models.","measure|state"
"Non-bonded Cutoff","cut","Distance for truncating non-bonded interactions.","measure|unit"
"Dielectric Constant","dielc","The dielectric constant of the medium.","measure|model"
"Generalized Born Model Selector","igb","Selects the Generalized Born implicit solvent model to use.","model|method"
"Analytical Linearized Poisson-Boltzmann","alpb","Flag to use the Analytical Linearized Poisson-Boltzmann model.","model|method"
"Generalized Born Surface Area","gbsa","Flag for Generalized Born Surface Area calculation method.","method|model"
"12-6-4 Lennard-Jones Potential","lj1264","Flag to use a 12-6-4 potential for specific ions.","model|method"
"Poisson-Boltzmann Solver","ipb","Flag to select the Poisson-Boltzmann solver model.","model|method"
"Non-bonded Pairlist Parameter","inp","Controls non-bonded pair list update frequency.","measure|algorithm"
"Van der Waals Method","vdwmeth","Selects the method for treating van der Waals interactions.","method|model"
"Ewald Summation Type","ew_type","Selects the type of Ewald summation method.","method|algorithm"
"Periodic Boundary Conditions","ntb","Flag to control the use of periodic boundary conditions.","state|method"
"QM/MM Calculation Flag","ifqnt","Flag to enable Quantum Mechanics/Molecular Mechanics (QM/MM) calculations.","method|process"
"Fast Water Update Algorithm","jfastw","Selector for a fast water update algorithm.","algorithm|method"
"SHAKE Constraint Algorithm","ntc","Flag to constrain bonds involving hydrogen atoms using SHAKE.","algorithm|method"
"Force Evaluation Control","ntf","Flag to control which forces are calculated or omitted.","method|process"
"QM/MM Input Options","qmmm_input_options","Data structure containing settings for QM/MM simulations.","data format|model"
"QM/MM Non-bonded Cutoff","qmcut","Non-bonded cutoff in Angstroms for QM/MM interactions.","measure|unit"
"Link Atom Distance","lnk_dis","Distance in Angstroms from a QM atom to its link atom.","measure|unit"
"SCF Convergence Criterion","scfconv","Energy difference threshold for SCF convergence.","measure|algorithm"
"SCF Error Convergence","errconv","SCF tolerance on the maximum error matrix value.","measure|algorithm"
"DFTB Electronic Temperature","dftb_telec","Electronic temperature in Kelvin to accelerate DFTB convergence.","measure|method"
"DFTB Electronic Temperature Step","dftb_telec_step","Step size for reducing electronic temperature in DFTB calculations.","measure|method"
"Fock Matrix Prediction Prefactor 1","fockp_d1","First prefactor for Fock matrix prediction.","measure|algorithm"
"Fock Matrix Prediction Prefactor 2","fockp_d2","Second prefactor for Fock matrix prediction.","measure|algorithm"
"Fock Matrix Prediction Prefactor 3","fockp_d3","Third prefactor for Fock matrix prediction.","measure|algorithm"
"Fock Matrix Prediction Prefactor 4","fockp_d4","Fourth prefactor for Fock matrix prediction.","measure|algorithm"
"SCF Damping Factor","damp","Damping factor used in Self-Consistent Field calculations.","measure|algorithm"
"Virtual Orbital Level Shifting","vshift","Controls level shifting for NDDO methods to improve SCF convergence.","measure|method"
"Debye Salt Concentration Parameter","kappa","Parameter related to Debye salt concentration for GB models.","measure|model"
"Pseudo-diagonalization Criterion","pseudo_diag_criteria","Criterion for performing pseudo-diagonalization of the Fock matrix.","measure|algorithm"
"Minimum Heavy-Atom Mass","min_heavy_mass","Minimum mass for an atom to be considered a heavy-atom.","measure|unit"
"QM/MM Switch Upper Distance","r_switch_hi","Distance at which the QM/MM switching function goes to zero.","measure|unit"
"QM/MM Switch Lower Distance","r_switch_lo","Distance at which the QM/MM switching function turns on.","measure|unit"
"QM Atom Indices","iqmatoms","Array of atom indices to be treated with QM.","identifier|data format"
"QM Generalized Born Treatment","qmgb","Specifies how the QM region is treated with Generalized Born.","method|model"
"Link Atom Atomic Number","lnk_atomic_no","The atomic number of the element used as a link atom.","identifier|chemical entity"
"DIIS Matrices","ndiis_matrices","Number of error vectors for the DIIS convergence algorithm.","measure|algorithm"
"DIIS Attempts","ndiis_attempts","Number of iterations DIIS extrapolation will be attempted.","measure|algorithm"
"Link Atom Method","lnk_method","Method for treating classical valence terms across the QM/MM boundary.","method|model"
"QM Region Charge","qmcharge","The net charge of the quantum mechanics region.","measure|state"
"Core QM Region Charge","corecharge","The net charge of the core QM region.","measure|state"
"Buffer QM Region Charge","buffercharge","The net charge of the buffer QM region.","measure|state"
"Spin Multiplicity","spin","Spin multiplicity of the QM region.","measure|state"
"QM-QM Derivative Calculation","qmqmdx","Controls whether QM-QM derivatives are computed analytically or pseudo-numerically.","method|algorithm"
"Peptide Linkage Correction","peptide_corr","Flag to apply a MM correction to peptide linkages.","method|model"
"Maximum SCF Iterations","itrmax","Maximum number of SCF iterations before failure.","measure|algorithm"
"QM SHAKE","qmshake","Controls whether SHAKE is applied to QM atoms.","algorithm|method"
"QM-MM In-Core Storage","qmmmrij_incore","Flag to store QM-MM pairs and related equations in memory.","method|process"
"QM-QM In-Core Storage","qmqm_erep_incore","Flag to store QM-QM 1-electron repulsion integrals in memory.","method|process"
"Pseudo-diagonalization","pseudo_diag","Flag to allow the use of pseudo-diagonalization of the Fock matrix.","algorithm|method"
"QM Ewald Treatment","qm_ewald","Specifies how long-range electrostatics for the QM region are treated.","method|algorithm"
"QM Particle Mesh Ewald","qm_pme","Flag to use PME for QM long-range electrostatic interactions.","method|algorithm"
"K-space Vectors (X)","kmaxqx","Number of K-space vectors in the X-dimension for Ewald/PME.","measure|algorithm"
"K-space Vectors (Y)","kmaxqy","Number of K-space vectors in the Y-dimension for Ewald/PME.","measure|algorithm"
"K-space Vectors (Z)","kmaxqz","Number of K-space vectors in the Z-dimension for Ewald/PME.","measure|algorithm"
"Maximum K-squared","ksqmaxsq","Maximum K^2 values for spherical cutoff in reciprocal space.","measure|algorithm"
"QM-MM Interaction Handling","qmmm_int","Controls the way the QM-MM interaction is handled.","method|model"
"Link Atom Charge Adjustment","adjust_q","Controls how charge is conserved with respect to link atoms.","method|algorithm"
"Tight Density Convergence","tight_p_conv","Controls the tightness of the density matrix convergence criteria.","measure|algorithm"
"Diagonalization Routine","diag_routine","Selects the routine to diagonalize the Fock matrix.","algorithm|method"
"Density Prediction","density_predict","Flag to use the density matrix from the previous step.","method|algorithm"
"Fock Matrix Prediction","fock_predict","Flag to attempt prediction of the Fock matrix.","method|algorithm"
"Maximum DFTB Iterations","dftb_maxiter","Maximum number of SCF iterations for SCC-DFTB calculations.","measure|algorithm"
"DFTB Dispersion Correction","dftb_disper","Flag to use a dispersion correction for DFTB/SCC-DFTB.","method|model"
"Hot Spot Adaptive Calculation","hot_spot","Activates adaptive calculation with force smoothing in buffer region.","method|algorithm"
"QM/MM Switching Function","qmmm_switch","Flag to use a switching function for QM/MM interactions.","method|model"
"Core QM Atom Indices","core_iqmatoms","List of atom indices for the core QM/MM region.","identifier|data format"
"Buffer QM Atom Indices","buffer_iqmatoms","List of atom indices for the buffer QM/MM region.","identifier|data format"
"QM Region Mask","qmmask","Amber selection mask to define the QM region.","identifier|data format"
"Core Region Mask","coremask","Amber selection mask to define the core QM region.","identifier|data format"
"Buffer Region Mask","buffermask","Amber selection mask to define the buffer QM region.","identifier|data format"
