"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count","removal_reason"
"N_OF_STRUCTURES","N_OF_STRUCTURES","A collective variable counting structures matching reference structures","measure|model","yes","159901,160026,160106","3","Lower-priority member of semantic cluster led by row 493 (Champion: 'Number of Structures CV')"
"nbuffer","nbuffer","Distance of the FD grid boundary from the solute surface","identifier|measure","yes","23463,25437,25442","3","Lower-priority member of semantic cluster led by row 494 (Champion: 'nbuffer')"
"ndfes","ndfes","Tool for umbrella sampling free energy analysis","software|method","yes","2210,2214,214302,214306,214312,214316,214320,214362,214371,214396,214400,214434,214495,214512,214516,214534,214545,214556,214779,214782,214805,214809,214813,214818,214819,214820,214881,214899,214903,214919,214941,214957,214989,215001,215035,215072,215099,215145,215183,215235,215253,215307,215437,215441,215452,215456,215483,215501,215520,215538,215565,215589,215607,215625,215862,215866,215881,215887,215891,215895,215901,215956,215960,215977,215978,215980,215987,215997,216007,216017,216027,216037,216095,216099,216119,216134,216149,216157,216186,216192,216229,216248,216266,216343,216378,216391,216705,216709,216805,216809,216823,216824,216825,216829,216834,216893","100","Lower-priority member of semantic cluster led by row 497 (Champion: 'ndfes')"
"NEB Algorithm Selection","neb","Selects the specific nudged elastic band algorithm to use.","method|algorithm","yes","134540,134555,134568,134801,134802,134811,134813,134817,134819,134825,134851,134863,134868,134881,134914,134943,134988,135031,135139,135152,135272,135274,135282,135285,135289,135303,135309,135312,135316,135319,135325,135326,135327,135330,139647,139656,139686,139920,139925,140042,140092,140108,140137,185089","44","Lower-priority member of semantic cluster led by row 499 (Champion: 'Nudged Elastic Band')"
"nef_to_RST","nef_to_RST","A program to convert NEF restraints to Amber format","software","yes","176050,180844,180858,180866","4","Lower-priority member of semantic cluster led by row 501 (Champion: 'nef_to_RST')"
"NetCDF","NetCDF","A library and data format for array-oriented scientific data","software|data format","yes","3185,3222,3257,40737,87525,87541,88013,88057,88059,88060,88061,88073,96020,96059,98250,106924,106930,107177,107187,107322,107512,107591,107658,107737,107761,115097,122887,122932,124195,124222,127184,127192,127194,139090,139721,139769,150461,150541,150543,150790,157287,189338,190512,190517,190522,190524,190525,190534,190538,192980,192981,193296,193303,193310,215335,215449,215467,215755,215763","61","Lower-priority member of semantic cluster led by row 503 (Champion: 'NetCDF Trajectory Format')"
"Neural network atom type","mBr","Identifiers for atoms used by the neural network model","identifier|chemical entity","yes","59899,59961","2","Lower-priority member of semantic cluster led by row 504 (Champion: 'Neural network atom type')"
"nfocus","nfocus","Number of focusing steps in a multi-grid PB calculation","identifier","yes","25456,25461,25469,25470,27171,27223,27347,27477,28118,30239,30321,31044,192305","13","Lower-priority member of semantic cluster led by row 506 (Champion: 'nfocus')"
"NME","NME","Residue name for a C-terminal N-methylamide capping group","chemical entity|identifier","yes","15089,18368,68008,68120,68129,68134,68144,68150,68193,68690,68694,74229,74241,100624,100632,111838,111839,112580,112666,168500,168501,168503,169004,178531,178536,178717,185755,185769","29","Lower-priority member of semantic cluster led by row 510 (Champion: 'NME (N-methylamide cap)')"
"NME (N-methylamide cap)","NME","A C-terminal capping group (CH3NH) for protein fragments.","chemical entity","yes","15089,18368,68008,68120,68129,68134,68144,68150,68193,68690,68694,74229,74241,100624,100632,111838,111839,112580,112666,168500,168501,168503,169004,178531,178536,178717,185755,185769","29","Lower-priority member of semantic cluster led by row 510 (Champion: 'NME (N-methylamide cap)')"
"nmropt","nmropt","Flag to enable distance and angle restraints in a simulation","identifier","yes","20665,107084,107091,113602,117217,117428,117437,126294,127345,127347,127348,135222,139574,139910,150773,165684,165693,176021,177508,178480,178913,181561,215164,216293","24","Lower-priority member of semantic cluster led by row 511 (Champion: 'nmropt')"
"nmropt","nmropt","sander variable to enable NMR restraint options.","identifier","yes","20665,107084,107091,113602,117217,117428,117437,126294,127345,127347,127348,135222,139574,139910,150773,165684,165693,176021,177508,178480,178913,181561,215164,216293","24","Lower-priority member of semantic cluster led by row 511 (Champion: 'nmropt')"
"NOE","NOE","Nuclear Overhauser Effect, a measure for distance restraints","measure","yes","122131,175856,175924,178938,181185,181255,182060","8","Lower-priority member of semantic cluster led by row 515 (Champion: 'NOE Violation Energy')"
"npbgrid","npbgrid","Frequency (in steps) for regenerating the finite-difference grid","identifier","yes","25492,25497,29934,29943","4","Lower-priority member of semantic cluster led by row 516 (Champion: 'npbgrid')"
"npbopt","npbopt","Option to select between the linear or full nonlinear PB equation","identifier","yes","24184,25186,25191,25301,25319,27356,28127,31052","8","Lower-priority member of semantic cluster led by row 518 (Champion: 'npbopt')"
"npbverb","npbverb","Option to enable verbose output from the pbsa program","identifier","yes","26109,26114,27002,27010,27273,27337,27714,27918,28108,29008,30231,30313,31036,192313","14","Lower-priority member of semantic cluster led by row 520 (Champion: 'npbverb')"
"RESPA Flag","nrespa","Flag to enable the RESPA multiple time-stepping algorithm.","algorithm|method","yes","19264,36734,38965,108562,108569,108583,108589,108595,108601,108610,108878,118713,126870,127207,127213,127218,127223,127359,168451,168474,168482,172878,172905","23","Lower-priority member of semantic cluster led by row 523 (Champion: 'nrespa')"
"nsnba","nsnba","Frequency (in steps) for generating the atom-based non-bonded pairlist","identifier","yes","25866,25871,29934,29945","4","Lower-priority member of semantic cluster led by row 524 (Champion: 'nsnba')"
"ntave","ntave","The number of steps between lambda increments","measure","yes","107362,107369,107376,107381,107387,118555,118639,126868,128050,132490,132496,132681,132730,132923,132964,133019,133112,133153,133259,133302,133440,133483,133546,133614,133667,133725,140991,143297,148168,167642,167647,167648,167653,167667,167670,167709,167761,167763","41","Lower-priority member of semantic cluster led by row 526 (Champion: 'ntave')"
"ntb","ntb","sander flag controlling the use of periodic boundary conditions.","identifier","yes","19250,29906,40335,40408,40484,49262,66633,106448,106958,107191,108710,110127,112750,113825,113832,113859,113860,113863,113897,113912,114033,115153,115528,118543,118627,119756,119779,119794,119799,120450,128070,130907,130972,131049,131113,131178,131243,131836,133411,135177,148158,165829,181572,183002,183012","47","Lower-priority member of semantic cluster led by row 528 (Champion: 'Periodic Boundary Conditions')"
"SHAKE Constraint Algorithm","ntc","Flag to constrain bonds involving hydrogen atoms using SHAKE.","algorithm|method","yes","21753,29910,49267,50031,50061,66623,106448,106497,110248,110255,110275,110289,110459,110466,111854,111959,112096,112240,112343,112559,112739,112914,113022,113125,113745,113768,113776,118539,118623,119865,119870,120537,130902,130967,131044,131108,131173,131238,131832,133406,135167,138795,148173,149554,149900,165824,166182,168455,168717,172882,173011,183002,208893","53","Lower-priority member of semantic cluster led by row 531 (Champion: 'ntc')"
"Force Evaluation Control","ntf","Flag to control which forces are calculated or omitted.","method|process","yes","21753,29910,49267,66618,106448,106497,110270,110275,110289,110488,110493,111959,112096,112240,112559,112739,112914,113022,113125,113730,113737,118539,118623,119849,119854,120566,130902,130967,131044,131108,131173,131238,131832,133406,135167,138795,148173,149554,149900,165824,166182,168455,168717,172882,173011,183002,208901","47","Lower-priority member of semantic cluster led by row 533 (Champion: 'ntf')"
"ntpr","ntpr","sander variable for the frequency of printing energy information to mdout.","identifier","yes","21731,29922,40323,40404,40472,46318,46722,46992,46997,47004,50084,53214,53219,53228,53605,53610,53620,53929,53934,53943,54360,54365,54374,54690,54695,54704,54951,54956,54965,57910,57915,57932,88075,106382,106460,106509,106893,107332,107339,107348,108919,111964,112102,112246,112348,112565,112745,112929,113037,113140,116529,118551,118635,126862,128033,128042,130892,130957,131034,131098,131163,131228,131844,133421,135172,140811,140817,140831,141214,148168,149538,149884,165814,178893,181556,183007,215164","77","Lower-priority member of semantic cluster led by row 534 (Champion: 'ntpr')"
"ntwr","ntwr","sander variable for the frequency of writing the restart file.","identifier","yes","21732,29922,40323,88076,107401,107408,107415,107429,107442,107458,108933,111964,112102,112246,112348,112565,112745,112929,113037,113140,127044,128033,128046,130892,130957,131034,131098,131163,131228,131844,133421,148168,165814,183007","34","Lower-priority member of semantic cluster led by row 536 (Champion: 'ntwr')"
"ntwx","ntwx","sander variable for the frequency of writing coordinates to the trajectory.","identifier","yes","21731,29922,40323,40472,59824,59872,88075,106460,106509,107525,107534,107543,107548,107588,107655,107710,111964,112102,112246,112348,112565,112745,118551,118635,128033,131446,131520,131844,132220,133421,135172,148168,149538,149542,149884,149888,167729,168882,173126,183007,215164","41","Lower-priority member of semantic cluster led by row 538 (Champion: 'ntwx')"
"ntx","ntx","sander variable controlling how initial coordinates and velocities are read.","identifier","yes","24045,24052,27322,28093,29902,30219,30301,31024,40323,40472,106430,106485,107020,107023,107142,107151,107266,107268,109167,109169,109189,109191,109220,109222,111919,112060,112200,112302,112514,112704,112909,113017,113120,118535,118619,130897,130962,131039,131103,131168,131233,131828,133396,148148,150462,165819,183002","47","Lower-priority member of semantic cluster led by row 540 (Champion: 'ntx')"
"offset","offset","A uniform value subtracted from dielectric radii for GB calculations","identifier|measure","yes","19521,19590,19777,19827,19905,20176,20181,20187,22553,26565,26570,28533,98546,170998,171004,171010,171016,171022,171028,171034,171040,171046,171052,171092,172011,172015,172019,172023,172027,172031,172035,172039,172043,172047,183434,188128,188537,188728,190442,190907,190975,191014,191371,203960,205068,206450,206518,207269,207495,207655,207667,215676","53","Lower-priority member of semantic cluster led by row 82 (Champion: 'bridge function')"
"offset","offset","A uniform value subtracted from dielectric radii for GB calculations","identifier|measure","yes","19521,19590,19777,19827,19905,20176,20181,20187,22553,26565,26570,28533,98546,170998,171004,171010,171016,171022,171028,171034,171040,171046,171052,171092,172011,172015,172019,172023,172027,172031,172035,172039,172043,172047,183434,188128,188537,188728,190442,190907,190975,191014,191371,203960,205068,206450,206518,207269,207495,207655,207667,215676","53","Lower-priority member of semantic cluster led by row 82 (Champion: 'bridge function')"
"Onufriev-Bashford-Case radii","GB^OBC model II","Radii set for a specific Generalized Born model (OBC)","data source|model","no","","0","Lower-priority member of semantic cluster led by row 544 (Champion: 'Onufriev-Bashford-Case radii')"
"OPC","OPC","A four-site optimal point charge water model","model|chemical entity","yes","4388,4493,4722,4742,5899,6618,14682,14791,14810,14812,14818,14822,14866,14930,14960,15119,15123,15127,15135,15147,15197,15207,15212,15217,15229,15231,15234,15252,15314,15318,15334,15355,15357,15374,15387,15389,15438,15516,15524,15556,15802,15823,15844,15865,15917,16009,16047,22771,84582,99221,99224,99797,199013,199020","55","Lower-priority member of semantic cluster led by row 547 (Champion: 'OPC')"
"PME Interpolation Order","order","The order of B-spline interpolation used in PME.","measure|algorithm","yes","2630,2650,2652,2686,2694,4525,4749,4886,4918,7700,7806,7823,8719,9717,13347,13384,13608,13627,14284,14358,15148,23310,23326,23652,23899,24244,29840,29995,30266,31591,32934,32961,32965,34949,35004,35044,35284,35553,35687,37494,37543,38153,38169,38172,38188,38658,39717,39767,39788,39824,41557,42111,42578,42580,42606,42608,42611,42637,42639,43331,43555,43896,43915,44626,44804,44812,44839,44972,45196,46037,46038,46455,47915,48765,50364,51843,52591,52597,52606,52624,52666,52903,53451,53904,56974,59148,61362,62679,64177,65978,66089,66097,66108,66110,66117,66133,66152,66163,66204,66221","348","Lower-priority member of semantic cluster led by row 549 (Champion: 'order')"
"outlvlset","outlvlset","Option to write the total level set function to a file","identifier","yes","26017,26022,27183,27202,28976,29016","6","Lower-priority member of semantic cluster led by row 550 (Champion: 'outlvlset')"
"outmlvlset","outmlvlset","Option to write the membrane-only level set function to a file","identifier","yes","26063,26068,27183,27212","4","Lower-priority member of semantic cluster led by row 552 (Champion: 'outmlvlset')"
"packmol-memgen","packmol-memgen","Tool to generate membrane systems for simulation","software|method","yes","2039,14615,14620,69049,69057,69061,69067,69109,69134,69265,69340,69628,69815,70040,70370,70385,70401,70410,70951,71028,71034,71043,71129,71180","24","Lower-priority member of semantic cluster led by row 556 (Champion: 'packmol-memgen')"
"packmol-memgen","packmol-memgen","A tool to generate membrane systems for simulation","software|method","yes","2039,14615,14620,69049,69057,69061,69067,69109,69134,69265,69340,69628,69815,70040,70370,70385,70401,70410,70951,71028,71034,71043,71129,71180","24","Lower-priority member of semantic cluster led by row 556 (Champion: 'packmol-memgen')"
"parmed","parmed","Script to examine, verify, and modify prmtop files","software","yes","1898,2006,15611,16122,16145,68296,74923,81555,81720,83729,83734,83737,83745,83747,83751,83761,83777,83783,83793,83817,83849,83867,83884,83906,83918,83919,83931,83966,83982,84045,84049,84579,84588,84618,86323,86959,86969,86971,87085,87129,87213,87314,87315,87486,87594,87985,87995,87996,88004,88012,88048,88053,88164,88293,88294,88615,88902,88935,89210,89215,89537,89834,89844,89847,89870,89890,89924,89953,90071,90073,90087,90091,90097,90156,90159,90167,90174,90178,90181,90189,90191,90192,90195,90201,90208,90225,90253,90258,108547,108551,125002,125006,125013,125017,125224,125608,125651,125655,125675,125799","123","Lower-priority member of semantic cluster led by row 557 (Champion: 'ParmEd')"
"Particle Mesh Ewald","Particle Mesh Ewald","An efficient algorithm for computing long-range electrostatic interactions.","algorithm|method","yes","2090,17947,37814,41618,52548,64611,64657,65553,86308,114388,115147,115151,115307,126120,126136,126458,148129","17","Lower-priority member of semantic cluster led by row 559 (Champion: 'Particle Mesh Ewald')"
"Poisson-Boltzmann Energy","pb","The total polar solvation free energy from PB calculations.","measure","yes","18846,18973,18989,18999,21920,22291,22303,22304,22309,22418,22479,22490,22565,23067,23101,23161,23164,23231,23239,23241,23255,23302,23318,23366,23437,23565,23596,23603,23704,23919,23957,24035,24112,24184,24345,24433,24495,24520,24551,24569,25204,25225,25234,25506,25682,26623,26932,26986,26998,27011,27013,27015,27016,27017,27053,27056,27151,27167,27247,27253,27269,27308,27313,27332,27453,27469,27694,27710,27898,27914,28084,28103,28988,29004,29795,29809,29845,29854,29894,29930,29942,30060,30227,30251,30256,30284,30309,30597,30797,31032,33318,44859,44864,44877,44904,59687,81588,106654,119018,119024","168","Lower-priority member of semantic cluster led by row 561 (Champion: 'Poisson-Boltzmann Calculation Type')"
"PBSA","PBSA","A continuum solvation model based on the Poisson-Boltzmann equation","model|method","yes","2190,2966,3083,19924,22454,22945,22951,22973,22978,22993,22998,23003,23182,23237,23253,23276,23471,23699,23733,23743,23749,23820,23828,23932,24005,24071,24339,24857,25899,25934,26029,26075,26121,26336,26602,26665,26667,26670,26728,26736,26745,26901,26904,26931,26935,26937,26938,26941,26949,26973,27089,27240,27379,27447,27487,27538,27547,27560,27575,27588,27594,27610,27616,27667,27683,27685,27742,27808,27818,27826,27836,27870,28020,28785,28973,29748,29760,29818,29828,29836,29842,29851,29968,29971,29981,29985,29991,30014,30021,30056,30081,30101,30112,30198,30203,30209,30286,30339,30364,30378","207","Lower-priority member of semantic cluster led by row 563 (Champion: 'PBSA')"
"Poisson-Boltzmann Solvent Accessible Surface Area","PBSA","Method combining PB electrostatics with a SASA-based nonpolar term","method|model","yes","2190,2966,3083,19924,22454,22945,22951,22973,22978,22993,22998,23003,23182,23237,23253,23276,23471,23699,23733,23743,23749,23820,23828,23932,24005,24071,24339,24857,25899,25934,26029,26075,26121,26336,26602,26665,26667,26670,26728,26736,26745,26901,26904,26931,26935,26937,26938,26941,26949,26973,27089,27240,27379,27447,27487,27538,27547,27560,27575,27588,27594,27610,27616,27667,27683,27685,27742,27808,27818,27826,27836,27870,28020,28785,28973,29748,29760,29818,29828,29836,29842,29851,29968,29971,29981,29985,29991,30014,30021,30056,30081,30101,30112,30198,30203,30209,30286,30339,30364,30378","207","Lower-priority member of semantic cluster led by row 563 (Champion: 'PBSA')"
"pbsa","pbsa","The executable program for running PBSA calculations","software","yes","2190,2966,3083,19924,22454,22945,22951,22973,22978,22993,22998,23003,23182,23237,23253,23276,23471,23699,23733,23743,23749,23820,23828,23932,24005,24071,24339,24857,25899,25934,26029,26075,26121,26336,26602,26665,26667,26670,26728,26736,26745,26901,26904,26931,26935,26937,26938,26941,26949,26973,27089,27240,27379,27447,27487,27538,27547,27560,27575,27588,27594,27610,27616,27667,27683,27685,27742,27808,27818,27826,27836,27870,28020,28785,28973,29748,29760,29818,29828,29836,29842,29851,29968,29971,29981,29985,29991,30014,30021,30056,30081,30101,30112,30198,30203,30209,30286,30339,30364,30378","207","Lower-priority member of semantic cluster led by row 563 (Champion: 'PBSA')"
"pbsa","pbsa","The executable program for running PBSA calculations","software","yes","2190,2966,3083,19924,22454,22945,22951,22973,22978,22993,22998,23003,23182,23237,23253,23276,23471,23699,23733,23743,23749,23820,23828,23932,24005,24071,24339,24857,25899,25934,26029,26075,26121,26336,26602,26665,26667,26670,26728,26736,26745,26901,26904,26931,26935,26937,26938,26941,26949,26973,27089,27240,27379,27447,27487,27538,27547,27560,27575,27588,27594,27610,27616,27667,27683,27685,27742,27808,27818,27826,27836,27870,28020,28785,28973,29748,29760,29818,29828,29836,29842,29851,29968,29971,29981,29985,29991,30014,30021,30056,30081,30101,30112,30198,30203,30209,30286,30339,30364,30378","207","Lower-priority member of semantic cluster led by row 563 (Champion: 'PBSA')"
"pbsa.cuda","pbsa.cuda","The GPU-accelerated version of the pbsa program","software","yes","22978,22998,29985,30014,30021,30056,30081,30101,30112,30209,30286,30339,30364,30378,30460,30470,30502,30534","18","Lower-priority member of semantic cluster led by row 568 (Champion: 'pbsa.cuda')"
"pbtemp","pbtemp","Temperature in Kelvin used for the PB equation","identifier|measure","yes","24510,24515","2","Lower-priority member of semantic cluster led by row 570 (Champion: 'pbtemp')"
"pdb4amber","pdb4amber","Script to prepare PDB files for compatibility with LEaP","software|process","yes","1810,1988,67625,67635,67652,68279,68283,68289,68304,68317,68512,68568,68583,68592,68598,68606,68653,68673,68678,68703,98942","21","Lower-priority member of semantic cluster led by row 573 (Champion: 'pdb4amber')"
"pGM (polarizable Gaussian Multipole)","pGM","A polarizable force field using distributed Gaussian multipoles.","model","yes","92786,101001,101005,101164,101228,101296,101658,101670,102535,103082,103426,103436,103702,104882,114131,116637,116649,116658,116663,116668,116671,116672,116681,116712,116725,116742,116743,116760,116765,116817,116844,116872,116891,116931,116932,116997,117056","37","Lower-priority member of semantic cluster led by row 575 (Champion: 'polarizable Gaussian Multipole (pGM) force field')"
"pH Replica Exchange MD","pH-REMD","A replica exchange method that improves protonation and conformational sampling","method|algorithm","yes","148919,149032,149710,149715,149856,149948,150083,150086,152278,152281,152290,152372,152381,152396,152404,152529,152544,152576,152603,152789,152866,152993,157612,157735,169244,170049,170053,170106,170173,170219,170230,170235,171217,171221,171828,172154,172157,172171,172176,172192","40","Lower-priority member of semantic cluster led by row 576 (Champion: 'Constant pH REMD')"
"pH-REMD","pH-REMD","REMD where replicas are simulated at different constant pH values.","method|algorithm","yes","148919,149032,149710,149715,149856,149948,150083,150086,152278,152281,152290,152372,152381,152396,152404,152529,152544,152576,152603,152789,152866,152993,157612,157735,169244,170049,170053,170106,170173,170230,170235,171217,171221,171828,172154,172157,172171,172176,172192","39","Lower-priority member of semantic cluster led by row 576 (Champion: 'Constant pH REMD')"
"phiform","phiform","Option to control the file format of the electrostatic potential map","identifier","yes","25892,25944,25949,27718,27876,27881,27886,27922,29012","9","Lower-priority member of semantic cluster led by row 579 (Champion: 'phiform')"
"phiout","phiout","Option to output the electrostatic potential map for visualization","identifier","yes","25887,27673,27718,27730,27735,27922,29012","7","Lower-priority member of semantic cluster led by row 581 (Champion: 'phiout')"
"PM3","PM3","Parameterization Method 3, a semi-empirical Hamiltonian","model","yes","16309,16320,16332,44693,44725,44749,44876,44881,44897,44944,44949,44950,45970,45971,46858,46859,47236,48643,48648,48723,48744,48750,48751,48759,49302,49864,49950,49969,54195,64512,64693,64697,65024,65036,65092,65106,65121,65125,65127,65128,65483,65927,112595,123336,123572,124530,124688,125763,125877,126016,192229","57","Lower-priority member of semantic cluster led by row 583 (Champion: 'PM3')"
"Particle Mesh Ewald (PME)","pme","An efficient method for calculating long-range electrostatic interactions","algorithm|method","yes","15219,15918,19253,19262,26311,26457,37812,41616,48153,48500,48886,48935,48944,49416,49487,49489,49572,49577,49594,49605,52548,52552,65553,78580,78581,84226,86881,105954,106977,108578,113876,113963,115151,115156,115159,115162,115169,115273,115291,115307,115308,115309,115317,115320,115330,115589,115684,115918,116082,116094,116125,116129,116672,116793,116817,116835,116845,116872,116873,118089,118476,118514,118693,119785,121526,121541,122234,123516,125835,125974,126228,126473,126719,127198,127204,127211,127240,127299,127394,128115,128119,128138,140258,140531,140532,140533,150936,153306,153331,174548,174559,174566,174572,174580,185046,185414,185415,185418,185422,186059","107","Lower-priority member of semantic cluster led by row 559 (Champion: 'Particle Mesh Ewald')"
"PMEMD","PMEMD","A high-performance parallel molecular dynamics engine in Amber","software","yes","1655,1776,2077,2083,2104,2146,2310,2953,2976,3028,3071,3313,3667,4288,16160,20261,20284,20287,21698,21837,21841,67398,67407,67447,67451,71194,81656,83758,85273,85289,85330,85938,85954,85995,86007,86828,86906,87791,87908,87914,87915,88029,88035,88081,88705,88740,88842,89088,89138,95888,95916,95933,95999,96955,96958,97229,97422,97874,98417,98432,99673,99680,99784,99785,99788,99789,105499,105873,105874,105875,105876,105877,105881,105888,111743,111755,111765,111766,111779,111780,111801,111819,111860,112877,112964,113072,113175,113194,113195,113207,113211,113223,113227,113231,113235,114322,114381,114385,114493,114515","367","Lower-priority member of semantic cluster led by row 588 (Champion: 'pmemd')"
"PMEMD","pmemd","High-performance molecular dynamics engine in the Amber suite.","software","yes","1655,1776,2077,2083,2104,2146,2310,2953,2976,3028,3071,3313,3667,4288,16160,20261,20284,20287,21698,21837,21841,67398,67407,67447,67451,71194,81656,83758,85273,85289,85330,85938,85954,85995,86007,86828,86906,87791,87908,87914,87915,88029,88035,88081,88705,88740,88842,89088,89138,95888,95916,95933,95999,96955,96958,97229,97422,97874,98417,98432,99673,99680,99784,99785,99788,99789,105499,105873,105874,105875,105876,105877,105881,105888,111743,111755,111765,111766,111779,111780,111801,111819,111860,112877,112964,113072,113175,113194,113195,113207,113211,113223,113227,113231,113235,114322,114381,114385,114493,114515","367","Lower-priority member of semantic cluster led by row 588 (Champion: 'pmemd')"
"PMEMD GPU Version","pmemd.cuda","GPU-accelerated version of the pmemd program.","software","yes","2083,2953,3667,20261,20287,98417,98432,99680,99785,99789,105499,111743,111755,111801,111819,111860,112877,113227,114385,114657,114661,114936,115105,115607,127464,127573,127628,127632,127690,127787,127792,127802,127856,127939,127944,127995,128007,128009,128114,128148,132113,132117,132134,132160,132189,132199,134956,140586,140590,140592,140595,140600,140601,140618,140621,140750,140766,141382,143578,143581,143652,143684,144852,147210,147214,165162,169921,169937,170092,183557","71","Lower-priority member of semantic cluster led by row 590 (Champion: 'pmemd.cuda')"
"pmemd.cuda","pmemd.cuda","The GPU-accelerated version of the PMEMD software","software","yes","2083,2953,3667,20261,20287,98417,98432,99680,99785,99789,105499,111743,111755,111801,111819,111860,112877,113227,114385,114657,114661,114936,115105,115607,127464,127573,127628,127632,127690,127787,127792,127802,127856,127939,127944,127995,128007,128009,128114,128148,132113,132117,132134,132160,132189,132199,134956,140586,140590,140592,140595,140600,140601,140618,140621,140750,140766,141382,143578,143581,143652,143684,144852,147210,147214,165162,169921,169937,170092,183557","71","Lower-priority member of semantic cluster led by row 590 (Champion: 'pmemd.cuda')"
"Poisson-Boltzmann","PB1","Implicit solvent model using the Poisson-Boltzmann equation","model|method","yes","3267,18554,18561,18583,19161,19216,19232,19702,19920,20629,21848,22975,23067,23457,24656,29764,32609,113940,114213,119022,119648,119729,126137,126330,188343,193985,195614,201802,204034,204820,205230,205246,205793","33","Lower-priority member of semantic cluster led by row 561 (Champion: 'Poisson-Boltzmann Calculation Type')"
"Poisson-Boltzmann","PB2","Implicit solvent model using the Poisson-Boltzmann equation","model|method","yes","3267,18554,18561,18583,19161,19216,19232,19702,19920,20629,21848,22975,23067,23457,24656,29764,32609,113940,114213,119022,119648,119729,126137,126330,188343,193985,195614,199359,199361,202226,204034,204820,205230,205246,205793,206510","36","Lower-priority member of semantic cluster led by row 561 (Champion: 'Poisson-Boltzmann Calculation Type')"
"Poisson-Boltzmann","PB3","Implicit solvent model using the Poisson-Boltzmann equation","model|method","yes","3267,18554,18561,18583,19161,19216,19232,19702,19920,20629,21848,22975,23067,23457,24656,29764,32609,113940,114213,119022,119648,119729,126137,126330,188343,193985,195614,202665,204034,204820,205230,205246,205793","33","Lower-priority member of semantic cluster led by row 561 (Champion: 'Poisson-Boltzmann Calculation Type')"
"Poisson-Boltzmann","PB4","Implicit solvent model using the Poisson-Boltzmann equation","model|method","yes","3267,18554,18561,18583,19161,19216,19232,19702,19920,20629,21848,22975,23067,23457,24656,29764,32609,113940,114213,119022,119648,119729,126137,126330,188343,193985,195614,203068,204034,204820,205230,205246,205793","33","Lower-priority member of semantic cluster led by row 561 (Champion: 'Poisson-Boltzmann Calculation Type')"
"Poisson-Boltzmann","Poisson-Boltzmann","A model for calculating electrostatic interactions in a continuum solvent","model|method","yes","3267,18554,18561,18583,19161,19216,19232,19702,19920,20629,21848,22975,23067,23457,24656,29764,32609,113940,114213,119022,119648,119729,126137,126330,188343,193985,195614,204034,204820,205230,205246,205793","32","Lower-priority member of semantic cluster led by row 561 (Champion: 'Poisson-Boltzmann Calculation Type')"
"Poisson-Boltzmann equation","Poisson-Boltzmann equation","A differential equation describing electrostatics in an ionic solution","model|method","yes","3267,18561,18583,19161,23457,119729","6","Lower-priority member of semantic cluster led by row 597 (Champion: 'Poisson-Boltzmann equation')"
"Poisson-Boltzmann equation","Poisson-Boltzmann equation","A differential equation describing electrostatics in an ionic solution","model|method","yes","3267,18561,18583,19161,23457,119729","6","Lower-priority member of semantic cluster led by row 597 (Champion: 'Poisson-Boltzmann equation')"
"polardecomp","polardecomp","A flag to decompose the RISM solvation free energy into polar/non-polar parts","identifier","yes","33403,33410,34529,34536,35302,40165,40172,42960,42965,191809,191814,192261","12","Lower-priority member of semantic cluster led by row 600 (Champion: 'Polar Decomposition')"
"Polarizable Force Field","polarizable force field","Force fields that explicitly account for electronic polarization","model","yes","98598,114096,122077,126320,186041,210225","6","Lower-priority member of semantic cluster led by row 602 (Champion: 'Polarizable Force Field')"
"poretype","poretype","Option to enable an automatic pore-finding algorithm in membranes","identifier","yes","25090,25095,27230,191247,191252,192317","6","Lower-priority member of semantic cluster led by row 604 (Champion: 'poretype')"
"poretype","poretype","A flag to turn on automatic membrane channel/pore finding","identifier","yes","25090,25095,27230,191247,191252,192317","6","Lower-priority member of semantic cluster led by row 604 (Champion: 'poretype')"
"powell","powell","An optimization method available in SciPy, used by OptC4.py.","algorithm|method","yes","100058,139313,139317","3","Lower-priority member of semantic cluster led by row 608 (Champion: 'powell')"
"pqr file","pqr","A file format containing atomic coordinates, charges, and radii","data format","yes","22103,22160,22172,22176,22182,23743,23751,23752,23801,23805,23818,23825,23897,23901,27397,68872,119059,119163,119167,119265,119269,119275,119279,119283,119287,188537,188623,188627","35","Lower-priority member of semantic cluster led by row 609 (Champion: 'PQR file')"
"pqr file","pqr","A file format containing atomic coordinates, charges, and radii","data format","yes","22103,22160,22172,22176,22182,23743,23751,23752,23801,23805,23818,23825,23897,23901,27397,68872,119059,119163,119167,119265,119269,119275,119279,119283,119287,188537,188623,188627","35","Lower-priority member of semantic cluster led by row 609 (Champion: 'PQR file')"
"prep file","prep file","Amber file format containing residue/fragment library information.","data format","yes","8199,73132,77148,80740,80815,93495","6","Lower-priority member of semantic cluster led by row 612 (Champion: 'prep file')"
